dbn,school_name,Borough,grade_span,Latitude,Longitude,Total.Tested_Common.Core.Algebra,Mean.Score_Common.Core.Algebra,Percent.Students.Took.The.Test.For.CCAlgebra,Total.Tested_Common.Core.Algebra2,Mean.Score_Common.Core.Algebra2,Percent.Students.Took.The.Test.For.CCAlgebra2,Total.Tested_Common.Core.Geometry,Mean.Score_Common.Core.Geometry,Percent.Students.Took.The.Test.For.CCGeometry,Total.Tested_Living.Environment,Mean.Score_Living.Environment,Percent.Students.Took.The.Test.For.LE,Total.Tested_Physical.Settings.Earth.Science,Mean.Score_Physical.Settings.Earth.Science,Percent.Students.Took.The.Test.For.ES,Total.Tested_Physical.Settings.Chemistry,Mean.Score_Physical.Settings.Chemistry,Percent.Students.Took.The.Test.For.Chemistry,Total.Tested_Physical.Settings.Physics,Mean.Score_Physical.Settings.Physics,Percent.Students.Took.The.Test.For.Physics,Mbps.Bandwidth,Full.Time.Certified.STEM.Teachers,Part.Time.Certified.STEM.Teachers,Ratio.of.Full.Time.Licensed.STEM.Teachers.to.Students,Number.of.CS.Courses,Number.of.AP.CS.Courses,number.of.Full.CS.Courses,number.of.Partial.CS.Courses,Total.Teacher.Response.Rate,Percent.of.STEMTeachers.That.Agree.With.17a,Percent.of.STEMTeachers.That.Agree.With.17b,Percent.of.STEMTeachers.That.Agree.With.17c,K.12.Enrollment_2017.18,K.12.FRPL.Count_2017.18,Classroom.Teachers.w..0.3.Years.Experience_2017.18,Classroom.Teachers.w..More.than.3.Years.Experience_2017.18,Classroom.Teachers_2017.18,Total.School.Funding.per.Pupil_2017.18,School_Type,Percent.Poverty,STEM_AP_Courses_Offered,club_number
14K561,Williamsburg Preparatory School,BROOKLYN ,9 to 12,40.715073,-73.954754,164,69.8,0.24260355,76,69.1,0.112426036,146,63.3,0.215976331,218,69.3,0.322485207,83,56.1,0.122781065,91,64.6,0.134615385,11,54.7,0.016272189,100,12,0,0.017751479,1,0,1,0,0.93,0.94,0.94,0.88,676,574,3,40,3915872,19970.65,High School,0.859,1,0
14K586,Lyons Community School,BROOKLYN ,6 to 12,40.709941,-73.943641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200,16,0,0.032258065,NA,NA,NA,NA,1,1,1,1,496,443,8,34,3413234,24607.46,High School,0.919,0,0
14K610,Automotive High School,BROOKLYN ,9 to 12,40.721981,-73.953281,155,59.3,NA,13,61.2,NA,109,51.8,NA,151,65.8,NA,53,58.5,NA,9,60.4,NA,NA,NA,NA,50,8,0,0.020050125,4,0,0,4,0.85,1,1,1,NA,NA,NA,NA,NA,NA,High School,0.812,0,2
14K614,Young Women's Leadership School of Brooklyn (TYWLS),BROOKLYN ,6 to 12,40.705204,-73.939407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,9,0,0.022167488,1,1,1,0,0.83,0.91,0.73,0.82,406,313,5,23,2387361,21028.84,High School,0.8,3,0
14K685,El Puente Academy for Peace and Justice,BROOKLYN ,9 to 12,40.705898,-73.955611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,4,0,0.016949153,NA,NA,NA,NA,1,1,1,1,236,203,6,12,1283145,26312.23,High School,0.881,0,0
15K423,Brooklyn Frontiers High School,BROOKLYN ,9 to 12,40.690145,-73.989132,39,59.2,0.232142857,NA,NA,NA,5,NA,0.029761905,44,56.6,0.261904762,1,NA,0.005952381,NA,NA,NA,NA,NA,NA,100,7,0,0.041666667,NA,NA,NA,NA,1,1,1,1,168,153,9,15,1839577,31216.62,High School,0.923,0,0
15K429,Digital Arts and Cinema Technology High School,BROOKLYN ,9 to 12,40.685419,-73.993351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,4,0,0.019417476,NA,NA,NA,NA,1,NA,NA,NA,206,165,4,14,1796485,25997.41,High School,0.811,1,0
15K448,Brooklyn Secondary School for Collaborative Studies,BROOKLYN ,6 to 12,40.68007,-74.001377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200,14,1,0.020558003,1,0,1,0,0.74,1,0.94,0.94,NA,NA,NA,NA,NA,NA,High School,0.698,0,0
15K462,John Jay School for Law,BROOKLYN ,9 to 12,40.669629,-73.979287,202,59.1,0.460136674,53,54.3,0.120728929,134,55.4,0.30523918,161,62.7,0.366742597,92,60.6,0.209567198,32,49.9,0.072892938,NA,NA,NA,40,9,0,0.020501139,1,0,0,1,0.94,0.89,0.78,1,439,349,16.5,13,2356665,20003.04,High School,0.811,2,NA
15K463,Secondary School for Journalism,BROOKLYN ,9 to 12,40.669629,-73.979287,123,59.4,NA,5,NA,NA,26,63.2,NA,89,58,NA,NA,NA,NA,8,56.5,NA,NA,NA,NA,40,4,0,0.018604651,2,2,2,0,0.88,0.83,0.83,0.83,NA,NA,NA,NA,NA,NA,High School,0.865,1,0
15K464,Park Slope Collegiate,BROOKLYN ,6 to 12,40.669629,-73.979287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,12,0,0.018348624,NA,NA,NA,NA,0.65,1,1,1,654,437,15,37,4257143,21219.79,High School,0.673,0,0
15K497,The Boerum Hill School for International Studies,BROOKLYN ,6 to 12,40.685419,-73.993351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,12,0,0.018987342,NA,NA,NA,NA,0.92,1,0.93,1,632,358,25,22,3994753,20076.8,High School,0.581,0,2
15K519,Cobble Hill School of American Studies,BROOKLYN ,9 to 12,40.684524,-73.990993,238,59.4,0.407534247,72,49.5,0.123287671,115,51.5,0.196917808,203,58.7,0.34760274,96,60.9,0.164383562,51,54.9,0.087328767,6,60.2,0.010273973,100,10,0,0.017123288,NA,NA,NA,NA,0.85,1,0.85,0.92,584,523,16,21,3410736,23745.47,High School,0.909,0,0
15K592,Khalil Gibran International Academy,BROOKLYN ,9 to 12,40.686499,-73.979649,114,57,0.422222222,31,61.3,0.114814815,63,52.8,0.233333333,92,57.8,0.340740741,38,53.4,0.140740741,27,58,0.1,10,47.3,0.037037037,100,5,0,0.018518519,NA,NA,NA,NA,0.86,1,0.86,1,270,234,11,15,1865304,23706.79,High School,0.893,0,0
15K656,Brooklyn High School of the Arts,BROOKLYN ,9 to 12,40.683559,-73.98027,268,63.8,0.30911188,172,57.3,0.198385236,231,56.7,0.266435986,235,66.6,0.271049596,189,67,0.21799308,126,53.8,0.14532872,NA,NA,NA,100,15,0,0.017301038,1,0,1,0,0.88,1,1,1,867,598,15,45,5208774,21526.06,High School,0.708,1,0
15K667,Sunset Park High School,BROOKLYN ,9 to 12,40.65571,-74.005197,405,61.9,0.329268293,201,62.5,0.163414634,296,56.7,0.240650407,405,62.6,0.329268293,305,68.1,0.24796748,1,NA,0.000813008,NA,NA,NA,50,25,0,0.020325203,4,1,3,1,0.85,0.81,0.66,0.78,1230,1040,42,70,8356950,21937.23,High School,0.854,2,2
15K684,Millennium Brooklyn High School,BROOKLYN ,9 to 12,40.669629,-73.979287,92,80.3,0.136904762,135,78.2,0.200892857,188,77.2,0.279761905,81,85.9,0.120535714,87,81.1,0.129464286,118,72.3,0.175595238,89,70.4,0.132440476,40,15,0,0.022321429,2,1,2,0,0.98,0.91,0.95,1,672,265,11,51,4750440,24433.47,High School,0.4,2,1
16K455,Boys and Girls High School,BROOKLYN ,9 to 12,40.67944,-73.932407,181,56.8,0.422897196,34,51,0.079439252,59,49.5,0.137850467,187,57.1,0.436915888,28,45.7,0.065420561,26,52.4,0.060747664,NA,NA,NA,100,6,0,0.014018692,1,1,1,0,0.85,1,1,1,428,341,11,21,3236966,32186.07,High School,0.815,1,0
16K498,Brooklyn High School for Law and Technology,BROOKLYN ,9 to 12,40.688831,-73.920906,174,60.3,0.292929293,28,68.9,0.047138047,109,52.8,0.183501684,181,64,0.304713805,55,64.9,0.092592593,59,59.2,0.099326599,3,NA,0.005050505,40,9,0,0.015151515,NA,NA,NA,NA,0.4,0.83,0.83,0.83,594,507,15.7,21,3055262,21086.38,High School,0.867,0,NA
16K594,Gotham Professional Arts Academy,BROOKLYN ,9 to 12,40.680239,-73.921099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,4,0,0.023809524,NA,NA,NA,NA,0.94,0.86,0.86,0.86,NA,NA,NA,NA,NA,NA,High School,NA,0,0
16K688,"Brooklyn Academy of Global Finance, The",BROOKLYN ,9 to 12,40.691274,-73.933697,79,54.3,0.585185185,2,NA,0.014814815,48,42.1,0.355555556,70,46.9,0.518518519,7,32.7,0.051851852,10,35.5,0.074074074,NA,NA,NA,100,4,0,0.02962963,4,1,2,2,1,1,0.6,0.8,135,132,5,9,933286,30758.34,High School,0.95,1,0
16K765,Nelson Mandela High School,BROOKLYN ,9 to 12,40.67944,-73.932407,69,62.4,0.252747253,NA,NA,NA,2,NA,0.007326007,104,57.1,0.380952381,NA,NA,NA,11,64,0.04029304,NA,NA,NA,100,5,0,0.018315018,1,1,1,0,1,0.86,1,1,273,212,5.5,16,1451572,23141.85,High School,0.795,1,NA
17K122,Pathways in Technology Early College High School (P-TECH),BROOKLYN ,9 to 14,40.675612,-73.938843,156,66.5,NA,1,NA,NA,17,53,NA,107,61.9,NA,NA,NA,NA,NA,NA,NA,6,50,NA,100,11,0,0.018581081,NA,NA,NA,NA,1,0.91,0.82,0.82,NA,NA,NA,NA,NA,NA,High School,0.74,0,NA
17K382,Academy for College Preparation and Career Exploration: A College Board School,BROOKLYN ,6 to 12,40.649787,-73.95855,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,6,1,0.014218009,NA,NA,NA,NA,0.87,0.8,0.8,0.8,422,327,3,19,1974051,21215.24,High School,0.796,1,1
17K408,Academy of Hospitality and Tourism,BROOKLYN ,9 to 12,40.649787,-73.95855,79,60.6,0.379807692,5,NA,0.024038462,27,53.3,0.129807692,74,59.5,0.355769231,66,51.7,0.317307692,13,54.2,0.0625,NA,NA,NA,30,4,1,0.019230769,1,0,0,1,1,1,1,1,208,178,5,10,1436354,25446.5,High School,0.88,0,0
17K489,W.E.B. DuBois Academic High School,BROOKLYN ,"School is structured on credit needs, not grade level",40.669561,-73.955188,16,60.6,NA,NA,NA,NA,NA,NA,NA,16,73.4,NA,6,54.5,NA,NA,NA,NA,NA,NA,NA,100,3,0,0.022727273,NA,NA,NA,NA,0.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,High School,NA,0,0
17K524,International High School at Prospect Heights,BROOKLYN ,9 to 12,40.670349,-73.961695,210,58.5,0.503597122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,9,0,0.021582734,2,0,1,1,0.89,1,1,1,417,313,7,23,2431574,22329.5,High School,0.827,0,NA
17K528,The High School for Global Citizenship,BROOKLYN ,9 to 12,40.670349,-73.961695,91,67.8,0.461928934,NA,NA,NA,7,65.6,0.035532995,70,60.8,0.355329949,63,48.8,0.319796954,NA,NA,NA,NA,NA,NA,100,5,0,0.025380711,1,1,1,0,1,1,0.8,0.8,197,180,6,8,1248978,25821.71,High School,0.939,1,0
17K531,The School for Human Rights,BROOKLYN ,8 to 12,40.658893,-73.942458,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,8,0,0.01814059,3,1,2,1,1,1,1,0.88,441,369,0,29,2754403,28056.05,High School,0.857,0,0
17K537,High School for Youth and Community Development at Erasmus,BROOKLYN ,9 to 12,40.649787,-73.95855,183,58.1,0.38125,5,NA,0.010416667,70,58.2,0.145833333,199,59.4,0.414583333,39,53.5,0.08125,2,NA,0.004166667,NA,NA,NA,30,5,1,0.010416667,NA,NA,NA,NA,1,1,1,1,480,400,5,17,1916801,22826.47,High School,0.842,1,1
17K539,High School for Service & Learning at Erasmus,BROOKLYN ,9 to 12,40.649787,-73.95855,92,61.4,0.259887006,13,58.1,0.036723164,38,63.1,0.107344633,108,59.8,0.305084746,98,55.7,0.276836158,11,59.1,0.031073446,2,NA,0.005649718,30,6,1,0.016949153,NA,NA,NA,NA,0.92,NA,NA,NA,354,293,8,15,1672011,22923.69,High School,0.845,0,0
17K543,"Science, Technology and Research Early College High School at Erasmus (STAR)",BROOKLYN ,6 to 12,40.649787,-73.95855,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,10,1,0.018484288,NA,NA,NA,NA,0.85,1,1,1,541,410,5.2,27,2958771,19751.51,High School,0.787,2,0
17K546,High School for Public Service: Heroes of Tomorrow,BROOKLYN ,9 to 12,40.658893,-73.942458,116,63.7,0.255506608,60,60.1,0.13215859,89,64,0.196035242,84,70.8,0.185022026,85,74.1,0.18722467,51,65.7,0.112334802,13,72.6,0.028634361,100,8,0,0.017621145,NA,NA,NA,NA,0.77,1,1,1,454,362,4,25,2965489,21967.68,High School,0.804,0,0
17K547,Brooklyn Academy of Science and the Environment (BASE),BROOKLYN ,9 to 12,40.670349,-73.961695,173,60,0.463806971,25,62,0.067024129,90,53.2,0.241286863,111,65.1,0.297587131,57,70.9,0.152815013,NA,NA,NA,NA,NA,NA,100,7,0,0.018766756,1,1,1,0,0.85,0.83,0.83,1,373,302,1,23,2134896,22042.14,High School,0.834,3,1
17K548,Brooklyn School for Music & Theatre,BROOKLYN ,9 to 12,40.670349,-73.961695,166,57.5,0.560810811,3,NA,0.010135135,68,47.3,0.22972973,138,59.6,0.466216216,63,54.3,0.212837838,NA,NA,NA,NA,NA,NA,100,5,0,0.016891892,NA,NA,NA,NA,0.9,1,1,1,296,246,3,16,1691400,23088.96,High School,0.845,0,0
17K590,Medgar Evers College Preparatory School,BROOKLYN ,6 to 12,40.667195,-73.951167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,21,0,0.016706444,2,2,2,0,0.23,1,1,1,1257,844,11.6,49,6003098,16726.21,High School,0.713,8,1
17K600,Clara Barton High School,BROOKLYN ,9 to 12,40.669567,-73.961962,409,64.5,0.334971335,67,54.1,0.054873055,120,53.6,0.098280098,292,67.6,0.239148239,108,77.9,0.088452088,43,65.2,0.035217035,20,58.1,0.016380016,100,16,1,0.013104013,2,1,2,0,0.78,0.85,0.83,0.85,1221,946,11.2,65,7453898,23976.6,High School,0.794,1,1
17K745,Brooklyn Institute for Liberal Arts (BILA),BROOKLYN ,9 to 12,40.658893,-73.942458,147,69.2,0.385826772,13,56.7,0.034120735,NA,NA,NA,119,68.2,0.312335958,NA,NA,NA,8,58.9,0.020997375,NA,NA,NA,100,7,0,0.018372703,3,0,0,3,1,1,1,1,381,344,15,12,1995069,19865.06,High School,0.906,0,0
17K751,Academy for Health Careers,BROOKLYN ,9 to 12,40.675612,-73.938843,100,65.5,0.278551532,2,NA,0.005571031,36,46.8,0.100278552,83,68.6,0.231197772,2,NA,0.005571031,16,58,0.044568245,NA,NA,NA,100,8,0,0.022284123,NA,NA,NA,NA,1,0.88,0.75,1,359,301,5,23,2352337,23656.53,High School,0.844,0,NA
18K563,It Takes a Village Academy,BROOKLYN ,9 to 12,40.648657,-73.922171,274,65.9,0.375342466,82,61.6,0.112328767,205,66.5,0.280821918,187,62.6,0.256164384,129,68.2,0.176712329,27,59.1,0.036986301,22,61.5,0.030136986,40,18,0,0.024657534,4,2,4,0,0.96,0.84,0.84,0.84,730,530,18.3,40,4150405,21326.45,High School,0.744,0,2
18K566,Brooklyn Generation School,BROOKLYN ,9 to 12,40.633285,-73.916735,98,58.6,NA,NA,NA,NA,17,65.1,NA,88,63.5,NA,10,66.6,NA,10,56,NA,NA,NA,NA,50,7,0,0.035897436,NA,NA,NA,NA,0.91,0.86,0.71,0.71,NA,NA,NA,NA,NA,NA,High School,0.821,0,NA
18K567,Brooklyn Theatre Arts High School,BROOKLYN ,9 to 12,40.633285,-73.916735,206,57.7,0.569060773,35,49.8,0.096685083,29,49.1,0.080110497,143,61.8,0.395027624,NA,NA,NA,1,NA,0.002762431,NA,NA,NA,50,5,0,0.013812155,NA,NA,NA,NA,0.9,1,1,0.83,362,293,5,16,1563210,20372.63,High School,0.823,0,0
18K569,Kurt Hahn Expeditionary Learning School,BROOKLYN ,9 to 12,40.648657,-73.922171,1,NA,0.002832861,1,NA,0.002832861,1,NA,0.002832861,NA,NA,NA,NA,NA,NA,1,NA,0.002832861,NA,NA,NA,40,7,0,0.019830028,1,0,0,1,0.68,NA,NA,NA,353,292,8,22,2291575,23024.95,High School,0.836,0,NA
18K576,Victory Collegiate High School,BROOKLYN ,9 to 12,40.633285,-73.916735,114,55,0.284289277,NA,NA,NA,50,50.4,0.124688279,117,58.5,0.291770574,1,NA,0.002493766,5,NA,0.012468828,NA,NA,NA,50,9,0,0.02244389,NA,NA,NA,NA,0.85,1,0.83,0.83,401,318,9,25,2441752,24228.73,High School,0.803,2,0
18K617,High School for Innovation in Advertising and Media,BROOKLYN ,9 to 12,40.641474,-73.898254,129,59.4,0.505882353,9,43.4,0.035294118,46,49.3,0.180392157,90,56.9,0.352941176,50,72.8,0.196078431,NA,NA,NA,NA,NA,NA,50,6,0,0.023529412,3,0,2,1,0.76,0.8,0.8,1,255,178,7,13,1836696,26338.12,High School,0.725,0,0
18K629,Cultural Academy for the Arts and Sciences,BROOKLYN ,9 to 12,40.648657,-73.922171,161,59.9,0.504702194,25,55.4,0.078369906,58,54.7,0.181818182,110,64.5,0.344827586,11,59.4,0.034482759,24,54.5,0.07523511,NA,NA,NA,40,7,0,0.021943574,NA,NA,NA,NA,0.85,0.86,0.86,0.83,319,239,4,21,1993651,23360.74,High School,0.759,0,NA
18K633,High School for Medical Professions,BROOKLYN ,9 to 12,40.641474,-73.898254,174,63.4,0.410377358,15,66.1,0.035377358,31,60.2,0.073113208,115,64.2,0.271226415,81,63.8,0.191037736,25,63.3,0.058962264,NA,NA,NA,50,7,0,0.016509434,NA,NA,NA,NA,0.89,1,1,1,424,403,7,20,2279986,21504.12,High School,0.95,2,1
18K637,Academy for Conservation and the Environment,BROOKLYN ,9 to 12,40.633285,-73.916735,171,62.2,0.6,52,52,0.18245614,6,48.5,0.021052632,118,63,0.414035088,37,60,0.129824561,NA,NA,NA,NA,NA,NA,50,5,0,0.01754386,3,0,2,1,0.96,1,1,1,285,235,13,10,1610333,22836.02,High School,0.853,1,0
18K642,Urban Action Academy,BROOKLYN ,9 to 12,40.641474,-73.898254,160,58.8,0.575539568,11,50,0.039568345,24,51.2,0.086330935,132,56.5,0.474820144,3,NA,0.010791367,9,62.2,0.032374101,NA,NA,NA,50,6,0,0.021582734,1,1,1,0,1,1,0.8,0.8,278,210,5,16,1561039,25058.92,High School,0.784,0,0
19K404,Academy for Young Writers,BROOKLYN ,6 to 12,40.657459,-73.874756,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,15,1,0.027472527,4,0,1,3,0.7,0.93,0.8,0.87,546,459,17,29.7,3628321,23774.07,High School,0.842,2,0
19K409,East New York Family Academy,BROOKLYN ,6 to 12,40.661072,-73.886942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,11,0,0.022177419,1,1,1,0,0.58,1,1,1,496,432,8,32,3273737,22841.66,High School,0.873,3,1
19K422,Spring Creek Community School,BROOKLYN ,6 to 12,40.657459,-73.874756,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,8,0,0.016736402,NA,NA,NA,NA,0.78,0.84,0.84,0.84,478,393,20,22,3567050,21996.39,High School,0.839,0,0
19K502,FDNY - Captain Vernon A. Richards High School for Fire and Life Safety,BROOKLYN ,9 to 12,40.667456,-73.894747,158,58.4,0.474474474,12,61.8,0.036036036,29,45.7,0.087087087,91,60.3,0.273273273,76,53.8,0.228228228,NA,NA,NA,NA,NA,NA,40,6,0,0.018018018,NA,NA,NA,NA,NA,NA,NA,NA,333,278,7,15,1751340,24006.37,High School,0.85,0,0
19K504,High School for Civil Rights,BROOKLYN ,9 to 12,40.667456,-73.894747,128,55.1,0.484848485,8,57.1,0.03030303,12,56.3,0.045454545,110,56.9,0.416666667,NA,NA,NA,10,46.2,0.037878788,3,NA,0.011363636,40,5,0,0.018939394,NA,NA,NA,NA,0.95,1,1,0.83,264,218,6,13,1272653,27241.69,High School,0.848,2,NA
19K507,Performing Arts and Technology High School,BROOKLYN ,9 to 12,40.667456,-73.894747,175,60.8,0.388888889,33,45.8,0.073333333,73,42.6,0.162222222,230,63.9,0.511111111,22,48.7,0.048888889,29,50,0.064444444,NA,NA,NA,40,8,0,0.017777778,NA,NA,NA,NA,0.75,1,0.6,1,450,408,8,22,2704236,22038.46,High School,0.916,1,0
19K510,World Academy for Total Community Health High School (WATCH),BROOKLYN ,9 to 12,40.667456,-73.894747,56,58.6,0.213740458,9,66.4,0.034351145,17,62.4,0.064885496,67,63.3,0.255725191,28,66.5,0.106870229,2,NA,0.007633588,NA,NA,NA,40,5,0,0.019083969,NA,NA,NA,NA,1,0.83,0.83,0.83,262,241,5,13,1654162,23879.84,High School,0.927,1,0
19K583,Multicultural High School,BROOKLYN ,9 to 12,40.691146,-73.868328,171,56.6,0.703703704,NA,NA,NA,56,36.9,0.230452675,51,55.3,0.209876543,24,46,0.098765432,41,39.1,0.16872428,NA,NA,NA,100,5,0,0.020576132,2,1,2,0,0.96,0.83,0.67,0.83,243,206,8,12,1717464,25054.73,High School,0.922,1,1
19K615,Transit Tech Career and Technical Education High School,BROOKLYN ,9 to 12,40.678276,-73.87596,340,57.7,0.476858345,12,65.9,0.016830295,78,45.9,0.109396914,279,60.8,0.391304348,3,NA,0.004207574,37,49.5,0.051893408,7,53.4,0.009817672,40,12,0,0.016830295,2,0,2,0,0.82,0.73,0.82,0.82,713,540,7,52,4610655,26683.12,High School,0.776,2,1
19K618,Academy of Innovative Technology,BROOKLYN ,9 to 12,40.691146,-73.868328,148,65.8,0.367245658,28,61.1,0.069478908,132,59.7,0.327543424,137,65.8,0.339950372,72,72.8,0.17866005,21,59.8,0.052109181,NA,NA,NA,100,8,0,0.019851117,1,1,1,0,0.86,1,1,1,403,345,10,26,2766514,23406.39,High School,0.866,2,2
19K639,Brooklyn Lab School,BROOKLYN ,9 to 12,40.691146,-73.868328,243,57.2,0.6328125,9,58.2,0.0234375,57,54.9,0.1484375,160,56.4,0.416666667,68,46.5,0.177083333,5,NA,0.013020833,NA,NA,NA,100,6,0,0.015625,NA,NA,NA,NA,0.85,0.8,1,1,384,330,8,19,2436920,24457.55,High School,0.893,0,0
19K659,Cypress Hills Collegiate Preparatory School,BROOKLYN ,9 to 12,40.691146,-73.868328,162,62.9,0.645418327,41,53,0.163346614,84,51.3,0.334661355,139,62.2,0.553784861,70,60.8,0.278884462,1,NA,0.003984064,NA,NA,NA,100,4,0,0.015936255,1,0,1,0,1,NA,NA,NA,251,206,3,13,1970516,26599.79,High School,0.873,0,0
19K660,W. H. Maxwell Career and Technical Education High School,BROOKLYN ,9 to 12,40.674135,-73.89643,119,64,0.292383292,7,54.3,0.017199017,45,57.3,0.110565111,166,58.7,0.407862408,85,49.6,0.208845209,31,44.4,0.076167076,NA,NA,NA,100,8,0,0.01965602,NA,NA,NA,NA,0.81,1,1,1,407,360,2,39,3271928,32932.52,High School,0.894,0,0
19K683,"The School for Classics: An Academy of Thinkers, Writers and Performers",BROOKLYN ,9 to 12,40.670724,-73.874208,130,61.6,NA,8,54.6,NA,108,53.1,NA,111,59.8,NA,106,57.4,NA,10,47.9,NA,NA,NA,NA,50,6,0,0.020905923,NA,NA,NA,NA,0.79,0.83,0.83,0.67,NA,NA,NA,NA,NA,NA,High School,0.892,1,1
19K764,The Urban Assembly School for Collaborative Healthcare,BROOKLYN ,9 to 12,40.691146,-73.868328,159,61.8,0.50798722,82,61.8,0.261980831,1,NA,0.003194888,113,65.8,0.361022364,62,70.7,0.198083067,21,58.1,0.067092652,NA,NA,NA,100,7,0,0.022364217,NA,NA,NA,NA,0.92,0.71,0.86,1,313,249,10.3,15,1878410,23138.31,High School,0.812,0,0
20K445,New Utrecht High School,BROOKLYN ,9 to 12,40.613262,-74.003404,838,71.1,0.23519506,391,73,0.109738984,561,72.4,0.157451586,856,72.5,0.240246983,463,73.1,0.129946674,364,69.7,0.1021611,70,72.3,0.019646365,50,52,0,0.014594443,5,1,2,3,0.74,0.91,0.93,0.89,3563,2811,37.2,168,18853059,19547.39,High School,0.807,5,1
20K485,High School of Telecommunication Arts and Technology,BROOKLYN ,9 to 12,40.637282,-74.023849,321,66.5,0.251173709,242,70.7,0.189358372,360,59.9,0.281690141,324,67.9,0.253521127,106,69.7,0.082942097,223,60.4,0.174491393,223,60.6,0.174491393,40,21,0,0.016431925,5,1,5,0,0.94,0.93,0.89,0.93,1278,959,24.7,62,7289278,22404.22,High School,0.772,6,NA
20K490,Fort Hamilton High School,BROOKLYN ,9 to 12,40.627835,-74.040046,1239,69.6,0.270405936,536,75.3,0.116979485,1062,66.8,0.231776517,1262,70,0.275425578,727,67.2,0.158664339,444,74.5,0.096900917,261,79.2,0.056962025,50,60,1,0.013094718,1,0,0,1,0.79,0.93,0.86,0.96,4582,3264,43.5,192.6,22130154,18698.83,High School,0.731,4,NA
20K505,Franklin Delano Roosevelt High School,BROOKLYN ,9 to 12,40.620446,-73.981795,1123,70.3,0.366873571,262,75.8,0.085592943,504,73.8,0.164652074,952,70.3,0.311009474,76,67.8,0.024828487,404,64.9,0.131983012,75,66.4,0.024501797,50,47,0,0.015354459,6,0,2,4,0.73,0.83,0.78,0.81,3061,2476,32.9,157,17594620,21366.27,High School,0.832,4,1
20K609,Urban Assembly School for Criminal Justice,BROOKLYN ,6 to 12,40.634875,-73.981528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,12,0,0.021582734,NA,NA,NA,NA,0.98,0.93,0.73,0.87,NA,NA,NA,NA,NA,NA,High School,0.946,2,0
21K337,International High School at Lafayette,BROOKLYN ,9 to 12,40.594291,-73.98577,170,64.2,0.504451039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,8,0,0.023738872,1,0,0,1,0.93,1,1,1,337,310,4,22,2160629,24011.38,High School,0.947,0,NA
21K344,Rachel Carson High School for Coastal Studies,BROOKLYN ,9 to 12,40.582533,-73.973132,170,65.1,0.266040689,201,59.9,0.314553991,22,51.1,0.034428795,144,69.2,0.225352113,127,67.6,0.198748044,35,62.9,0.054773083,NA,NA,NA,20,11,0,0.017214397,1,1,1,0,0.58,1,0.8,1,639,421,5.5,31,3556771,21397.83,High School,0.687,2,2
21K348,High School of Sports Management,BROOKLYN ,9 to 12,40.594291,-73.98577,110,63.6,0.454545455,39,57.4,0.161157025,60,52.3,0.247933884,94,62.5,0.388429752,76,56.9,0.314049587,1,NA,0.004132231,NA,NA,NA,50,5,0,0.020661157,NA,NA,NA,NA,1,1,1,1,242,192,1,15,1337517,25082.52,High School,0.806,1,0
