dbn,school_name,Borough,grade_span,Latitude,Longitude,Total.Tested_Common.Core.Algebra,Mean.Score_Common.Core.Algebra,Percent.Students.Took.The.Test.For.CCAlgebra,Total.Tested_Common.Core.Algebra2,Mean.Score_Common.Core.Algebra2,Percent.Students.Took.The.Test.For.CCAlgebra2,Total.Tested_Common.Core.Geometry,Mean.Score_Common.Core.Geometry,Percent.Students.Took.The.Test.For.CCGeometry,Total.Tested_Living.Environment,Mean.Score_Living.Environment,Percent.Students.Took.The.Test.For.LE,Total.Tested_Physical.Settings.Earth.Science,Mean.Score_Physical.Settings.Earth.Science,Percent.Students.Took.The.Test.For.ES,Total.Tested_Physical.Settings.Chemistry,Mean.Score_Physical.Settings.Chemistry,Percent.Students.Took.The.Test.For.Chemistry,Total.Tested_Physical.Settings.Physics,Mean.Score_Physical.Settings.Physics,Percent.Students.Took.The.Test.For.Physics,Mbps.Bandwidth,Full.Time.Certified.STEM.Teachers,Part.Time.Certified.STEM.Teachers,Ratio.of.Full.Time.Licensed.STEM.Teachers.to.Students,Number.of.CS.Courses,Number.of.AP.CS.Courses,number.of.Full.CS.Courses,number.of.Partial.CS.Courses,Total.Teacher.Response.Rate,Percent.of.STEMTeachers.That.Agree.With.17a,Percent.of.STEMTeachers.That.Agree.With.17b,Percent.of.STEMTeachers.That.Agree.With.17c,K.12.Enrollment_2017.18,K.12.FRPL.Count_2017.18,Classroom.Teachers.w..0.3.Years.Experience_2017.18,Classroom.Teachers.w..More.than.3.Years.Experience_2017.18,Classroom.Teachers_2017.18,Total.School.Funding.per.Pupil_2017.18,School_Type,Percent.Poverty,STEM_AP_Courses_Offered,club_number
11X513,New World High School,BRONX    ,9 to 12,40.887831,-73.852694,244,69.9,0.605459057,111,67.2,0.275434243,26,60.7,0.064516129,169,57.8,0.419354839,83,62.9,0.205955335,15,59.7,0.037220844,6,44,0.014888337,200,11,0,0.027295285,NA,NA,NA,NA,0.92,1,1,1,403,389,6,18,1967074,21614.27,High School,0.95,0,NA
11X514,The Bronxwood Preparatory Academy,BRONX    ,9 to 12,40.887831,-73.852694,175,63,0.432098765,10,55.5,0.024691358,29,55.5,0.071604938,148,60.3,0.365432099,61,56.7,0.150617284,NA,NA,NA,NA,NA,NA,200,6,0,0.014814815,NA,NA,NA,NA,0.75,0.8,0.8,0.8,405,282,6.9,19,2206047,21468.53,High School,0.721,0,NA
11X542,Pelham Preparatory Academy,BRONX    ,9 to 12,40.859665,-73.861006,193,60,0.385229541,53,55.7,0.105788423,116,58.6,0.231536926,150,64.5,0.299401198,74,68.2,0.147704591,25,62.8,0.0499002,NA,NA,NA,200,9,0,0.017964072,NA,NA,NA,NA,0.9,1,0.78,0.89,501,362,6,22,2469414,20387.29,High School,0.731,2,0
11X544,High School for Contemporary Arts,BRONX    ,9 to 12,40.875953,-73.86197,244,61,0.547085202,67,54.1,0.150224215,38,58.2,0.085201794,209,59.8,0.468609865,71,68.3,0.159192825,21,57,0.047085202,12,72.3,0.02690583,200,7,0,0.015695067,2,0,1,1,0.79,1,1,1,446,337,3.1,26,2850543,23413.06,High School,0.778,0,1
11X545,Bronx Aerospace High School,BRONX    ,9 to 12,40.875953,-73.86197,146,57.1,0.421965318,9,46.4,0.026011561,15,55.2,0.043352601,118,61.8,0.341040462,20,76.1,0.057803468,9,59.2,0.026011561,NA,NA,NA,200,7,0,0.020231214,NA,NA,NA,NA,0.97,1,1,1,346,261,6,22,2223604,27989.85,High School,0.775,0,NA
12X242,Mott Hall V,BRONX    ,6 to 12,40.831416,-73.877785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,12,0,0.017595308,NA,NA,NA,NA,0.95,0.92,0.75,0.67,682,578,18,38,4330746,22496.04,High School,0.87,0,0
12X248,"Metropolitan High School, The",BRONX    ,9 to 12,40.827315,-73.897612,92,53.7,0.223844282,1,NA,0.00243309,35,53.1,0.085158151,87,62.3,0.211678832,41,54.2,0.099756691,1,NA,0.00243309,NA,NA,NA,100,11,0,0.02676399,NA,NA,NA,NA,0.83,0.67,0.67,0.67,411,392,17.2,21,3136751,28122.9,High School,0.95,0,NA
12X251,Explorations Academy,BRONX    ,9 to 12,40.8359,-73.890458,142,60.4,0.404558405,26,65.3,0.074074074,28,62.7,0.07977208,118,62.1,0.336182336,25,55.3,0.071225071,41,53.8,0.116809117,NA,NA,NA,100,6,0,0.017094017,NA,NA,NA,NA,0.96,1,0.63,0.88,351,327,10,15,1973927,23173.11,High School,0.94,1,1
12X267,Bronx Latin,BRONX    ,6 to 12,40.827743,-73.900105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,12,0,0.020725389,1,0,0,1,0.98,0.95,0.9,0.95,579,546,21,27,3912063,22187,High School,0.948,2,0
12X271,East Bronx Academy for the Future,BRONX    ,6 to 12,40.836356,-73.888361,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,14,0,0.020864382,1,0,0,1,0.52,0.91,0.91,0.91,671,616,17,44,4710347,24637.57,High School,0.927,0,2
