"","dbn","School.Name","Borough","gradespan","Latitude","Longitude","Number.Tested","Mean.Scale.Math.Score","%Level1","%Level2","%Level3","%Level4","%Level3&4","Mbps.Bandwidth","Full.Time.Certified.STEM.Teachers","Part.Time.Certified.STEM.Teachers","Ratio.of.Full.Time.Licensed.STEM.Teachers.to.Students","Total.Teacher.Response.Rate","Percent.of.STEMTeachers.That.Agree.With.17a","Percent.of.STEMTeachers.That.Agree.With.17b","Percent.of.STEMTeachers.That.Agree.With.17c","Percent.Poverty","K.12.Enrollment","K.12.FRPL.Count","Classroom.Teachers.w..0.3.Years.Experience","Classroom.Teachers.w..More.than.3.Years.Experience","Classroom.Teachers","Total.School.Funding.per.Pupil","Salary.Per.Classroom.Teacher"
"16","01M361","The Children's Workshop School","MANHATTAN","PK-5",40.727537,-73.978254,90,602,16.7,27.8,38.9,16.7,55.6,100,0,0,0,"65%",1,1,1,0.457,279,132,5,19.7,2478296,23438.84,100335.870445344
"17","01M363","Neighborhood School","MANHATTAN","PK-5",40.72444,-73.986214,31,596,29,22.6,32.3,16.1,48.4,100,0,0,0,"96%",NA,NA,NA,0.438,286,128,6,18,2124797,23340.16,88533.2083333333
"18","01M364","Earth School","MANHATTAN","PK-5",40.72313,-73.981597,38,590,55.3,26.3,10.5,7.9,18.4,100,0,0,0,"93%",NA,NA,NA,0.546,320,174,4,26,2651409,23121.93,88380.3
"19","01M378","School For Global Leaders","MANHATTAN"," 6-8",40.720581,-73.985645,211,596,43.6,28.9,11.4,16.1,27.5,100,7,0,0.02734375,"67%",0.8,1,0.8,0.828,256,205,8,19,2642573,26110.86,97873.0740740741
"20","01M450","East Side Community School","MANHATTAN"," 6-12",40.729589,-73.982555,217,603,19.4,30.4,33.6,16.6,50.2,200,13,0,0.0190336749633968,"92%",0.95,0.89,0.95,0.654,683,442,9,38,4299160,21194.44,91471.4893617021
"21","01M539","New Explorations into Science, Technology and Math","MANHATTAN"," K-12",40.718895,-73.979308,595,628,0.5,2.5,16.8,80.2,97,100,19,0,0.010957324106113,"95%",0.88,0.8,0.72,0.239,1734,395,36,62,7871234,16571.2,80318.7142857143
"22","01M839","Tompkins Square Middle School","MANHATTAN"," 6-8",40.72438,-73.98138,247,602,28.7,21.9,26.7,22.7,49.4,100,7,0,0.0187667560321716,"75%",1,1,0.88,0.694,373,257,6,23,2666337,23586.56,91942.6551724138
"23","02M001","P.S. 001 Alfred E. Smith","MANHATTAN","PK-5",40.71255,-73.997478,146,603,26.7,18.5,17.8,37,54.8,100,0,0,0,"79%",NA,NA,NA,0.808,294,232,2,30,2752421,27514.81,86013.15625
"24","02M002","P.S. 002 Meyer London","MANHATTAN","PK-5",40.712907,-73.991523,260,609,11.5,16.2,31.5,40.8,72.3,100,0,0,0,"68%",NA,NA,NA,0.95,530,513,5,47,4084563,27460.96,78549.2884615385
"25","02M003","P.S. 003 Charrette School","MANHATTAN","PK-5",40.732603,-74.005949,280,613,6.8,15.4,32.1,45.7,77.9,100,0,0,0,"68%",NA,NA,NA,0.219,699,150,6.7,46.7,4434059,21310.12,83034.8127340824
"26","02M006","P.S. 006 Lillie D. Blake","MANHATTAN","PK-5",40.777737,-73.960427,303,623,0.3,8.3,17.2,74.3,91.4,100,1,0,0.00144092219020173,"68%",1,1,1,0.12,616,71,9.2,32.1,3213809,20637.65,77816.1985472155
"27","02M011","P.S. 011 William T. Harris","MANHATTAN","PK-5",40.744186,-74.000743,454,612,15,11.7,22.5,50.9,73.3,100,0,0,0,"88%",1,1,1,0.3,905,266,13,49.2,4995109,19354.15,80307.2186495177
"28","02M033","P.S. 033 Chelsea Prep","MANHATTAN","PK-5",40.749014,-74.000238,298,611,25.5,9.7,15.8,49,64.8,100,0,0,0,"51%",NA,NA,NA,0.482,614,297,20.2,19,3203379,18586.41,81718.8520408163
