DBN,School Name,# of Comp Sci Courses,# of AP Comp Sci Courses,# of Full CS Courses,# of Partial CS Courses,School Type,Student Enrollment,Full Time certified STEM teachers,Part Time certified STEM teachers,Ratio of Full Time Licensed STEM Teachers to Students*,Building Code,Mbps Bandwidth,Local School Code,K-12 Enrollment,K-12 FRPL Count,Classroom Teachers w/ 0-3 Years Experience,Classroom Teachers w/ More than 3 Years Experience,Classroom Teachers,Total School Funding per Pupil,Total Teacher Response Rate,a.agree,b.agree,c.agree,3rd Mean Scale Score,3rd % Level 1,3rd % Level 2,3rd % Level 3,3rd % Level 4,3rd % Level 3+4,4th Mean Scale Score,4th % Level 1,4th % Level 2,4th % Level 3,4th % Level 4,4th % Level 3+4,5th Mean Scale Score,5th % Level 1,5th % Level 2,5th % Level 3,5th % Level 4,5th % Level 3+4,Gradespan,Address,Latitude,Longitude,% Poverty,Economic Need Index
02M267,"East Side Elementary School, PS 267",6,0,0,6,Elementary (K-5),398,0,0,0,M267,100,M267,398,41,10.3,19,2158821,20550.32,97,,,,615.5384521,3.846153736,9.615385056,30.76922989,55.76922989,86.53845978,611.9244995,7.547169685,11.320755,32.07546997,49.05660248,81.13207245,627.1199951,8,4,14,74,88,K-5,"213 EAST 63RD STREET, MANHATTAN NY 10065",40.763883,-73.963861,0.111,0.077
02M276,Battery Park City School,3,0,0,3,K-8,827,5,0,0.006045949,M276,100,M276,827,104,11,52,5029009,21093.76,94,100,100,100,613.1572876,4.494381905,13.48314571,37.07865143,44.94382095,82.02246857,614.7126465,4.597701073,14.94252872,20.6896553,59.7701149,80.4597702,612.861084,10.18518543,11.11111069,37.9629631,40.74074173,78.70370483,PK-8,"55 BATTERY PLACE, MANHATTAN NY 10280",40.706384,-74.017456,0.135,0.149
02M281,The River School,1,0,0,1,Elementary (K-5),272,0,0,0,M281,100,M281,236,70,9,13,1899525,20500.4,95,,,,619.8928833,0,10.71428585,21.4285717,67.85713959,89.2857132,608.5666504,13.33333302,13.33333302,30,43.33333206,73.33333588,,,,,,,PK-5,"425 EAST 35TH STREET, MANHATTAN NY 10016",40.744288,-73.972592,0.276,0.184
02M290,P.S. 290 Manhattan New School,5,0,0,5,Elementary (K-5),631,0,0,0,M190,100,M290,591,66,4,36.7,3393171,19838.89,76,,,,614.1046753,9.302325249,10.4651165,25.5813961,54.65116119,80.2325592,622.1264648,2.298850536,3.448275805,19.5402298,74.71264648,94.25287628,622.8414917,4.878048897,8.536585808,21.95121956,64.63414764,86.5853653,PK-5,"311 EAST 82 STREET, MANHATTAN NY 10028",40.775181,-73.952777,0.117,0.106
03M084,P.S. 084 Lillian Weber,4,0,0,4,Elementary (K-5),656,0,0,0,M084,100,M084,551,243,20,33,4023051,21229.33,100,83,83,100,608.0824585,16.49484444,12.3711338,34.02061844,37.11340332,71.13401794,604.0374756,20,23.75,20,36.25,56.25,601.8666382,24,21.33333397,32,22.66666603,54.66666794,PK-5,"32 WEST 92 STREET, MANHATTAN NY 10025",40.789479,-73.968419,0.405,0.44
03M165,P.S. 165 Robert E. Simon,9,0,0,9,K-8,604,1,0,0.001655629,M165,100,M165,573,413,24,30,2921256,25502.53,52,100,100,100,601.2131348,13.11475372,32.78688431,29.50819588,24.59016418,54.09836197,607.9420166,13.04347801,17.39130402,21.73913002,47.82608795,69.56521606,598.6707153,41.46341324,20.73170662,15.85365868,21.95121956,37.80487823,PK-5,"234 WEST 109 STREET, MANHATTAN NY 10025",40.802653,-73.965949,0.725,0.711
04M057,James Weldon Johnson,2,0,0,2,K-8,818,4,0,0.004889976,M057,100,M057,782,687,19,50,5192839,22814.19,49,,,,590.9000244,37.5,32.5,21.25,8.75,30,591.6585083,41.46341324,34.14634323,19.51219559,4.878048897,24.39024353,589.2531738,48.10126495,34.17721558,12.65822792,5.063291073,17.72151947,3K-8,"176 EAST 115 STREET, MANHATTAN NY 10029",40.797205,-73.941598,0.895,0.935
04M096,P.S. 096 Joseph Lanzetta,3,0,0,3,K-8,397,5,0,0.012594458,M096,100,M096,383,360,12,32,3637149,28867.27,91,90,80,100,588.9393921,33.33333206,45.45454407,21.21212196,0,21.21212196,582.9755859,51.21951294,39.02439117,7.317073345,2.439024448,9.756097794,583.7368164,68.42105103,26.31579018,2.631578922,2.631578922,5.263157845,3K-8,"216 EAST 120 STREET, MANHATTAN NY 10035",40.79969,-73.937179,0.95,0.95
04M102,P.S. 102 Jacques Cartier,4,0,0,4,Elementary (K-5),318,0,0,0,M102,100,M102,292,232,10,22,2693713,27371.73,67,,,,595.6122437,34.69387817,24.48979568,22.44898033,18.36734772,40.81632614,595.4650879,37.20930099,25.5813961,23.2558136,13.95348835,37.20930099,592.125,52.08333206,18.75,18.75,10.41666698,29.16666603,3K-5,"315 EAST 113 STREET, MANHATTAN NY 10029",40.795,-73.938418,0.818,0.844
05M046,P.S. 046 Arthur Tappan,6,0,3,3,K-8,661,2,0,0.003025719,M046,100,M046,626,593,20,40,4445540,25162.42,79,85,92,92,593.5,32.35293961,29.41176414,27.94117737,10.29411793,38.23529434,583.833313,57.69230652,26.92307663,12.82051277,2.56410265,15.38461494,587.9230957,52.56410217,28.20512772,17.94871712,1.282051325,19.23077011,3K-8,"2987 FREDERICK DOUGLASS BOULEVARD, MANHATTAN NY 10039",40.8304,-73.9363,0.95,0.95
05M175,P.S. 175 Henry H Garnet,6,0,0,6,Elementary (K-5),321,1,0,0.003115265,M175,100,M175,290,276,3,23,2428099,24171.58,88,80,80,80,594.5319214,34.04255295,25.53191566,27.65957451,12.76595783,40.42553329,592.2745361,43.13725662,29.41176414,17.64705849,9.8039217,27.45098114,584.7454834,61.81818008,20,14.54545498,3.636363745,18.18181801,3K-5,"175 WEST 134 STREET, MANHATTAN NY 10030",40.814388,-73.942706,0.95,0.926
05M517,Teachers College Community School,1,0,0,1,K-8,286,1,0,0.003496503,M916,100,M517,268,126,8,12,1885107,20227.75,100,,,,608.7561035,12.19512177,12.19512177,34.14634323,41.46341324,75.60975647,594.25,38.88888931,27.77777863,16.66666603,16.66666603,33.33333206,600.8485107,21.21212196,36.36363602,21.21212196,21.21212196,42.42424393,PK-7,"168 MORNINGSIDE AVENUE, MANHATTAN NY 10027",40.812428,-73.953317,0.472,0.584
06M018,P.S. 018 Park Terrace,9,0,0,9,K-8,353,2,0,0.005665722,,,M018,353,327,8.7,22,2675314,25509.28,97,100,100,100,601.7446899,19.14893532,12.76595783,46.80850983,21.27659607,68.0851059,595.8823242,20.58823586,41.17647171,29.41176414,8.823529243,38.23529434,584.2424316,63.63636398,27.27272797,3.030303001,6.060606003,9.090909004,K-8,"4124 9 AVENUE, MANHATTAN NY 10034",40.871456,-73.911732,0.926,0.895
06M048,P.S. 048 P.O. Michael J. Buczek,3,0,0,3,Elementary (K-5),543,0,1,0,M048,100,M048,507,475,22.2,29.5,3681195,26378.22,50,100,83,100,591.5280762,29.21348381,41.57303238,21.34831429,7.865168571,29.21348381,585.7999878,48.75,40,8.75,2.5,11.25,586.0449219,58.42696762,29.21348381,11.23595524,1.123595476,12.35955048,PK-5,"4360-78 BROADWAY, MANHATTAN NY 10033",40.853193,-73.933629,0.947,0.881
06M128,P.S. 128 Audubon,5,0,0,5,Elementary (K-5),586,0,0,0,M128,100,M128,516,489,12.2,41,4330655,25064.9,89,100,100,100,588.795166,40.96385574,22.89156532,28.91566277,7.228915691,36.14457703,592.333313,41.37931061,22.98850632,18.39080429,17.24137878,35.63218307,588.986084,54.16666794,23.61111069,9.722222328,12.5,22.22222137,PK-5,"560 WEST 169 STREET, MANHATTAN NY 10032",40.841032,-73.938701,0.933,0.854
06M348,Washington Heights Expeditionary Learning School,1,0,0,1,K-12,815,14,0,0.017177914,M143,100,M348,784,615,19,44,5168997,21088.68,72,100,88,88,595.8214111,32.1428566,25,25,17.8571434,42.8571434,,,,,,,,,,,,,"PK-4, 6-12","511 WEST 182ND STREET, MANHATTAN NY 10033",40.849311,-73.930991,0.773,0.839
