DBN,School Name,School Type.x,Borough,Latitude,Longitude,Math Proficiency,# of Comp Sci Courses,Mbps Bandwidth,PD17a,PD17b,PD17c,Scaled Mean Score,Poverty Percent,FRPL,TSFPP,Average Teacher Salary,PLVL34,Stem Activities Count,School Type.y,Ratio of Full Time Licensed STEM Teachers to Students*
27Q105,The Bay School (P.S./M.S. 105),K-8,QUEENS,40.595779,-73.781876,10,1,50,13,25,25,74.33333333,88.8,688,24722.76,89159.67606,0.116591928,0,K-8,2:815
27Q207,The Rockwood Park School (P.S. 207),K-8,QUEENS,40.658089,-73.844432,59,3,20,0,0,0,48,35.6,216,27211.07,86174.52774,0.541666667,0,K-8,1:340
27Q114,The Belle Harbor School (P.S./M.S. 114),K-8,QUEENS,40.578261,-73.854403,30,,100,20,20,20,27,24.5,155,22422.73,90130.08,0.50617284,0,K-8,1:223
27Q124,Osmond A. Church (P.S./M.S. 124),K-8,QUEENS,40.665058,-73.811701,39,5,20,9,9,0,129.3333333,64.1,770,19143.42,85525.87013,0.342783505,0,K-8,4:1229
27Q137,America's School of Heroes (M.S. 137),Middle (6-8),QUEENS,40.6781,-73.839948,39,,40,9,9,9,410,88.9,1657,19642.64,85423.37795,0.373170732,1,Middle (6-8),5:378
27Q146,The Howard Beach School (P.S./M.S. 146),K-8,QUEENS,40.659873,-73.835068,36,8,20,0,0,0,69.33333333,47.5,318,23388.07,85520.62,0.5,0,K-8,1:678
27Q210,Elizabeth Blackwell (J.H.S. 210),Middle (6-8),QUEENS,40.683858,-73.84747,33,,20,33,33,28,537.3333333,85.7,1589,20150.71,90222.9375,0.285980149,0,Middle (6-8),3:235
27Q226,Virgil I. Grissom (J.H.S. 226),Middle (6-8),QUEENS,40.675771,-73.816938,18,,20,17,11,17,195,91,830,21091.51,93528.66667,0.215384615,2,Middle (6-8),7:458
27Q232,Lindenwood (P.S. 232),K-8,QUEENS,40.665909,-73.851216,47,3,20,0,0,0,97,62.7,600,20722.75,88765.06849,0.518900344,,K-8,1:485
27Q262,Channel View School for Research,Secondary (6-12),QUEENS,40.583775,-73.839659,22,,40,5,10,10,87.33333333,73.6,645,22935.88,89041.16176,0.435114504,3,Secondary (6-12),5:296
27Q282,Knowledge and Power Preparatory Academy VI,Middle (6-8),QUEENS,40.60201,-73.762795,19,,200,,,,59.66666667,85.2,218,20199.68,92921.5,0.407821229,0,Middle (6-8),5:264
27Q297,Hawtree Creek Middle School-M.S. 297,Middle (6-8),QUEENS,40.675771,-73.816938,18,,20,18,9,0,104,92.1,335,21145.3,79332.11073,0.224358974,1,Middle (6-8),1:61
27Q318,Waterside School For Leadership,Middle (6-8),QUEENS,40.580928,-73.831836,8,3,100,0,0,0,73,91.2,203,23615.2,75937.86364,0.086757991,1,Middle (6-8),0:1
27Q319,Village Academy,Middle (6-8),QUEENS,40.603622,-73.749097,10,,100,0,17,0,120.6666667,83.6,296,21778.87,86396.33333,0.085635359,1,Middle (6-8),7:359
27Q323,Scholars' Academy,Secondary (6-12),QUEENS,40.584109,-73.825711,90,1,200,6,6,6,150.3333333,48.1,651,16649.84,82719.66887,0.920177384,0,Secondary (6-12),7:344
27Q333,Goldie Maple Academy,K-8,QUEENS,40.593967,-73.786182,9,,100,,,,19,79.7,305,21121.48,105137.1111,0.122807018,0,K-8,1:428
01M034,Franklin Delano Roosevelt (P.S. 34),K-8,MANHATTAN,40.726473,-73.975181,15,,100,,,,39.66666667,95,312,29882.06,77149.72222,0.142857143,0,K-8,4:333
01M140,The Nathan Straus Preparatory School (P.S. 140),K-8,MANHATTAN,40.71925,-73.983056,16,4,100,,,,52,88.4,309,26390.92,84107.11429,0.217948718,2,K-8,3:371
01M184,Shuang Wen School (P.S. 184),K-8,MANHATTAN,40.711549,-73.986542,74,,100,17,0,8,83.33333333,68,440,20901.88,78709.58824,0.812,0,K-8,1:114
01M188,The Island School (P.S. 188),K-8,MANHATTAN,40.719598,-73.977904,20,,100,0,0,0,47.66666667,92.1,377,29106.77,89913.75321,0.335664336,0,K-8,2:433
13K691,Fort Greene Preparatory Academy,Middle (6-8),BROOKLYN,40.694633,-73.971165,9,2,20,13,0,0,66.33333333,90.5,182,29737.17,77920,0.120603015,2,Middle (6-8),1:67
01M301,"Technology, Arts and Sciences Studios",Middle (6-8),MANHATTAN,40.729636,-73.983818,6,,100,,,,,,,,,,1,Middle (6-8),3:106
25Q025,Adrien Block (I.S. 25),Middle (6-8),QUEENS,40.765133,-73.790083,56,,40,6,0,0,321.6666667,58.8,598,18826.25,92074.5,0.614507772,0,Middle (6-8),17:1028
01M332,University Neighborhood Middle School,Middle (6-8),MANHATTAN,40.713684,-73.986336,7,,100,0,20,0,56,88.7,178,37499.03,82888,0.125,1,Middle (6-8),5:203
01M378,School For Global Leaders,Middle (6-8),MANHATTAN,40.720581,-73.985645,25,,100,20,0,20,70.33333333,82.8,205,26110.86,97873.07407,0.274881517,0,Middle (6-8),7:256
14K318,Eugenio Maria de Hostos (I.S. 318),Middle (6-8),BROOKLYN,40.7025,-73.948869,35,2,100,0,0,0,325.6666667,66.8,817,21204.89,93226.95238,0.318321392,3,Middle (6-8),13:1249
01M450,East Side Community School,Secondary (6-12),MANHATTAN,40.729589,-73.982555,40,2,200,5,11,5,72.33333333,65.4,442,21194.44,91471.48936,0.502304147,1,Secondary (6-12),13:683
01M539,"New Explorations into Science, Technology and Math",K-12,MANHATTAN,40.718895,-73.979308,93,3,100,12,20,28,89,23.9,395,16571.2,80318.71429,0.958801498,0,K-12,19:1734
01M839,Tompkins Square Middle School,Middle (6-8),MANHATTAN,40.72438,-73.98138,47,,100,0,0,13,82.33333333,69.4,257,23586.56,91942.65517,0.493927126,0,Middle (6-8),7:373
13K008,Robert Fulton (P.S./M.S. 8),K-8,BROOKLYN,40.694926,-73.986015,42,,10,0,0,0,47.66666667,19.1,168,18730.25,81406.67722,0.503496503,1,K-8,1:229
15K464,Park Slope Collegiate,Secondary (6-12),BROOKLYN,40.669629,-73.979287,,,40,0,0,0,36.33333333,67.3,437,21219.79,81868.13462,0.440366972,0,Secondary (6-12),2:109
13K113,Ronald Edmonds Learning Center (M.S. 113),Middle (6-8),BROOKLYN,40.688811,-73.971009,14,,200,0,0,0,92,92.5,278,26421.23,111598.9231,0.141304348,1,Middle (6-8),4:305
13K265,Dr. Susan S. McKinney Secondary School of the Arts,Secondary (6-12),BROOKLYN,40.696324,-73.97578,5,5,100,0,0,0,30.66666667,92.2,339,26900.52,91455.27778,0.054347826,0,Secondary (6-12),9:370
13K266,Park Place Community (M.S. 266),Middle (6-8),BROOKLYN,40.679097,-73.94684,11,,100,,,,43.33333333,86.9,135,29238.88,93455,0.215384615,4,Middle (6-8),1:40
13K301,Satellite East Middle School,Middle (6-8),BROOKLYN,40.686076,-73.945229,13,,50,,,,27.66666667,94.9,94,35246.73,110865.2222,0.108433735,0,Middle (6-8),2:99
13K313,The Dock Street School,Middle (6-8),BROOKLYN,40.703106,-73.992549,24,,10,,,,56.66666667,72.9,144,24935.52,99019.84615,0.494117647,1,Middle (6-8),5:199
13K351,Urban Assembly Unison School,Middle (6-8),BROOKLYN,40.68505,-73.960659,7,3,100,0,17,17,46.33333333,89.9,133,28393.54,88625.25,0.172661871,1,Middle (6-8),4:149
14K071,Juan Morel Campos Secondary School,Secondary (6-12),BROOKLYN,40.703624,-73.953146,7,3,100,0,17,8,50.66666667,88.2,465,33640.82,78250.15625,0.203947368,2,Secondary (6-12),11:534
13K492,Academy of Arts and Letters,K-8,BROOKLYN,40.690765,-73.971376,49,,100,,,,32,30.6,155,19780.57,85990.67647,0.697916667,0,K-8,4:519
13K527,Urban Assembly Institute of Math and Science for Young Women (M.S. 527),Secondary (6-12),BROOKLYN,40.694682,-73.988853,12,,40,0,20,10,50.66666667,85.8,407,20222.82,80738.81081,0.309210526,1,Secondary (6-12),1:48
14K050,John D. Wells (M.S. 50),Middle (6-8),BROOKLYN,40.711704,-73.960275,7,,100,11,11,11,77.66666667,90,257,27382.39,94301.51852,0.253218884,1,Middle (6-8),5:289
14K084,Jose de Diego Magnet School of Visual Arts and Sciences (P.S./M.S. 84),K-8,BROOKLYN,40.714785,-73.963,6,6,100,0,0,0,62.33333333,48.5,360,26892.08,80989.21429,0.155080214,0,K-8,1:793
14K126,John Ericsson Middle School (M.S. 126),Middle (6-8),BROOKLYN,40.719819,-73.948625,14,,10,0,0,0,107.6666667,85.2,318,28589.42,82892.63889,0.139318885,4,Middle (6-8),1:54
14K157,The Benjamin Franklin Magnet School for Civic Leadership in Health and Science (P.S./I.S. 157),K-8,BROOKLYN,40.695417,-73.959571,10,,50,,,,52.33333333,87.3,395,25913.47,80991.16667,0.127388535,2,K-8,1:479
14K577,Middle School 577,Middle (6-8),BROOKLYN,40.715351,-73.956716,36,,50,0,0,7,100,54,265,20694.15,94554.91176,0.503333333,0,Middle (6-8),7:502
14K582,Upper Ten Eyck School (M.S. 582),Middle (6-8),BROOKLYN,40.708723,-73.940002,9,,50,0,13,13,71.66666667,83.8,218,27422.62,75294.21642,0.255813953,0,Middle (6-8),1:53
14K586,Lyons Community School,Secondary (6-12),BROOKLYN,40.709941,-73.943641,2,,200,0,0,0,46,91.9,443,24607.46,81267.47619,0.065217391,0,Secondary (6-12),1:31
14K614,The Young Women's Leadership School of Brooklyn,Secondary (6-12),BROOKLYN,40.705204,-73.939407,14,1,100,9,27,18,45.33333333,80,313,21028.84,85262.89286,0.235294118,2,Secondary (6-12),9:406
24Q560,"Robert F. Wagner, Jr. Secondary School for Arts and Technology",Secondary (6-12),QUEENS,40.742839,-73.936782,79,,100,0,0,0,36.66666667,77.6,512,19232.03,91883.55263,0.827272727,1,Secondary (6-12),2:133
24Q005,The Walter Crowley Intermediate School (I.S. 5),Middle (6-8),QUEENS,40.737718,-73.887429,50,,20,16,18,11,544.3333333,80.4,1414,20144.42,83756.76889,0.496631966,0,Middle (6-8),15:899
24Q049,Dorothy Bonawit Kole (P.S./I.S. 49),K-8,QUEENS,40.719867,-73.875093,56,6,20,0,0,20,121.3333333,47.9,551,18558.62,84079.90411,0.626373626,2,K-8,7:1160
24Q061,Leonardo da Vinci (I.S. 61),Middle (6-8),QUEENS,40.742668,-73.863307,23,3,50,50,57,29,666.6666667,95,2152,21827.37,83808.61714,0.2185,2,Middle (6-8),5:373
24Q073,The Frank Sansivieri Intermediate School (I.S. 73),Middle (6-8),QUEENS,40.729215,-73.893624,50,,10,9,14,5,577,71.4,1385,20288.74,78962.04895,0.472559214,2,Middle (6-8),34:1971
26Q266,P.S. /I.S. 266 Q,K-8,QUEENS,40.746231,-73.727614,67,8,10,0,0,0,59,53.8,336,22836.46,87968.28846,0.480225989,0,K-8,4:649
24Q077,I.S. 77,Middle (6-8),QUEENS,40.699516,-73.90214,21,3,200,13,9,9,293.3333333,92.6,932,23421.12,89492.65823,0.240909091,1,Middle (6-8),7:506
24Q087,The Middle Village School (P.S./I.S. 87),K-8,QUEENS,40.711815,-73.871238,20,,20,,0,0,54.66666667,64.7,355,24727.55,87015.98113,0.292682927,0,K-8,1:303
24Q093,Ridgewood I.S. 93,Middle (6-8),QUEENS,40.706041,-73.902584,35,2,20,3,3,3,306.3333333,94.8,1041,21919.42,88189.24419,0.324265506,1,Middle (6-8),18:1099
24Q102,P.S./I.S. 102Q,K-8,QUEENS,40.733514,-73.877857,58,,20,0,11,6,131.3333333,86,1097,20354.36,83231.53684,0.611675127,0,K-8,1:221
24Q113,Anthony J. Pranzo (P.S./I.S. 113),K-8,QUEENS,40.705516,-73.862208,58,3,30,11,0,0,111,56.6,497,19779.24,88455.16364,0.537537538,0,K-8,3:896
24Q119,Glendale (I.S. 119),K-8,QUEENS,40.704406,-73.875183,63,9,50,0,0,0,159.3333333,74.2,936,17669.57,90937.16667,0.483263598,1,K-8,10:1277
24Q125,Thomas J. McCann Woodside (I.S. 125),Middle (6-8),QUEENS,40.741131,-73.918945,39,1,200,5,11,11,393.6666667,77.3,1139,19968.6,86680.52381,0.474174428,1,Middle (6-8),27:1504
24Q128,Juniper Valley (P.S. 128),K-8,QUEENS,40.715344,-73.886215,57,,100,,,,93,36.8,353,18903.88,82933.71875,0.584229391,1,K-8,2:323
24Q311,Corona Arts and Sciences Academy (CASA),Middle (6-8),QUEENS,40.745709,-73.865329,23,,20,5,5,11,243,95,714,21427.33,81522.36332,0.242798354,1,Middle (6-8),9:733
25Q164,Queens Valley School,K-8,QUEENS,40.720924,-73.823362,63,6,50,8,7,7,58.66666667,74,491,22059.02,90586.38889,0.551136364,1,K-8,2:693
25Q185,Edward Bleeker (J.H.S. 185),Middle (6-8),QUEENS,40.775253,-73.819347,67,1,40,0,4,0,431,77.1,1166,19324.9,85384.89899,0.636504254,1,Middle (6-8),10:507
25Q189,Daniel Carter Beard (J.H.S. 189),Middle (6-8),QUEENS,40.759844,-73.820548,52,,40,7,7,0,212.3333333,79.2,595,20753.87,88244.82353,0.551020408,0,Middle (6-8),5:257
