schooldbn,printedschoolname,Borough,gradespan,Latitude,Longitude,Student Enrollment,Full Time certified  STEM teachers,Part Time certified STEM teachers,Ratio of Full Time Licensed STEM Teachers to Students*,Mbps Bandwidth,# of Comp Sci Courses,# of AP Comp Sci Courses,# of Full CS Courses,# of Partial CS Courses,K-12 Enrollment,K-12 FRPL Count,Classroom Teachers w/ 0-3 Years Experience,Classroom Teachers w/ More than 3 Years Experience,Classroom Teachers,Total School Funding per Pupil,Teacher_Response_Rate,17a. SD/D,17a. SA/A,"17b. SD/D,",17b. SA/A,17c. SD/D,17c. SA/A,number_tested,number_level_one,number_level_two,number_level_three,number_level_four,percent_level_one,percent_level_two,percent_level_three,percent_level_four,poverty_percent
18K366,The Science And Medicine Middle School 366,BROOKLYN,GR 6-8,40.647323,-73.892022,399,11,0,0.02756892231,20,,,,,399,325,1,33.0,2827793,23760.33,97,8,92,8,92,8,92,372,187,117,46,22,0.502688172,0.314516129,0.123655914,0.05913978495,82.7
18K588,Middle School for Art and Philosophy,BROOKLYN,GR 6-8,40.658295,-73.920109,177,4,0,0.02259887006,10,,,,,177,162,5,14.0,1627435,28017.1,100,0,100,0,100,0,100,173,87,62,19,5,0.5028901734,0.3583815029,0.1098265896,0.0289017341,93.8
18K598,Middle School of Marketing and Legal Studies,BROOKLYN,GR 6-8,40.65843,-73.929076,131,3,0,0.02290076336,50,6,0,0,6,,,,,,,83,,,,,,,,,,,,,,,,
18K763,Brooklyn Science and Engineering Academy,BROOKLYN,GR 6-8,40.648423,-73.925948,257,5,0,0.01945525292,50,2,0,0,2,257,197,7,14.0,1840399,25471.45,100,0,100,0,100,0,100,249,86,102,50,11,0.3453815261,0.4096385542,0.2008032129,0.04417670683,78.2
28Q008,Richard S. Grossley (J.H.S. 8),QUEENS,GR 6-8,40.69719,-73.787192,339,7,0,0.02064896755,30,,,,,339,307,2,30.0,2855572,26507.89,100,7,93,7,93,7,93,316,138,86,57,35,0.4367088608,0.2721518987,0.1803797468,0.1107594937,90.6
28Q072,Catherine & Count Basie Middle School (M.S. 72),QUEENS,GR 6-8,40.673769,-73.775951,375,9,0,0.024,20,,,,,375,305,2,37.0,2963796,28931.36,56,,,,,,,338,206,87,33,12,0.6094674556,0.2573964497,0.09763313609,0.03550295858,82.1
28Q157,Stephen A. Halsey (J.H.S. 157),QUEENS,GR 6-9,40.732289,-73.853825,1636,24,0,0.01466992665,50,,,,,1636,874,36.9,66.0,8398435,18589.87,84,11,89,7,93,4,96,1221,208,289,285,439,0.1703521704,0.2366912367,0.2334152334,0.3595413595,55.1
28Q167,MELS - Metropolitan Expeditionary Learning School,QUEENS,GR 6-12,40.711367,-73.856698,841,15,0,0.01783590963,50,,,,,841,598,11,57.0,5360185,20253.58,91,16,84,21,79,16,84,287,95,87,73,32,0.331010453,0.3031358885,0.2543554007,0.1114982578,72.1
28Q190,Russell Sage Junior High School (J.H.S. 190),QUEENS,GR 6-8,40.722707,-73.851699,1055,16,0,0.01516587678,200,3,0,3,0,1055,445,7,52.0,5803035,18302.19,77,23,77,0,100,8,92,673,121,146,146,260,0.1797919762,0.2169390788,0.2169390788,0.3863298663,44.1
28Q217,Robert A. Van Wyck (J.H.S. 217),QUEENS,GR 6-8,40.710024,-73.812508,1630,28,1,0.01717791411,50,3,0,1,2,1630,1140,9.2,90.0,9673767,19924.09,92,0,100,0,100,3,97,1049,409,298,194,148,0.3898951382,0.2840800763,0.1849380362,0.1410867493,71.3
28Q284,York Early College Academy,QUEENS,GR 6-12,40.69719,-73.787192,646,9,0,0.01393188854,30,2,0,2,0,646,462,2.5,29.0,2812120,17455.42,97,17,83,0,100,0,100,187,40,53,53,41,0.2139037433,0.2834224599,0.2834224599,0.2192513369,74.5
28Q287,The Emerson School,QUEENS,GR 6-8,40.69719,-73.787192,365,6,0,0.01643835616,30,,,,,365,313,7,23.0,2397380,23182.98,67,0,100,0,100,13,88,317,186,80,35,16,0.5867507886,0.2523659306,0.1104100946,0.05047318612,86.6
28Q310,Queens Collegiate: A College Board School,QUEENS,GR 6-12,40.713218,-73.797237,671,14,0,0.02086438152,50,,,,,671,578,8,40.0,3946262,20398.64,88,13,88,19,81,13,88,234,77,75,50,32,0.3290598291,0.3205128205,0.2136752137,0.1367521368,87.9
28Q332,Redwood Middle School (I.S. 332),QUEENS,GR 6-8,40.673769,-73.775951,309,7,0,0.02265372168,20,3,0,3,0,309,213,3,26.0,1998568,22508.99,93,0,100,0,100,0,100,260,117,86,47,10,0.45,0.3307692308,0.1807692308,0.03846153846,69.6
28Q680,Queens Gateway to Health Sciences Secondary School,QUEENS,GR 6-12,40.718831,-73.806499,690,11,0,0.01594202899,10,3,1,2,1,690,432,7,31.0,3714401,19613.43,100,29,71,29,71,29,71,265,10,22,60,173,0.03773584906,0.08301886792,0.2264150943,0.6528301887,63.2
28Q896,"The Young Women's Leadership School, Queens",QUEENS,GR 6-12,40.707527,-73.806412,563,10,0,0.01776198934,20,,,,,563,445,5,28.0,3031720,18466.27,92,14,86,14,86,14,86,154,16,30,61,47,0.1038961039,0.1948051948,0.3961038961,0.3051948052,79.2
30Q235,Academy for New Americans (I.S. 235),QUEENS,GR 6-8,40.766792,-73.922589,101,4,0,0.0396039604,100,3,0,3,0,101,97,2.2,10.0,908478,30452.48,100,0,100,0,100,0,100,135,81,29,17,8,0.6,0.2148148148,0.1259259259,0.05925925926,95
