schooldbn,printedschoolname,Borough,gradespan,Latitude,Longitude,Student Enrollment,Full Time certified  STEM teachers,Part Time certified STEM teachers,Ratio of Full Time Licensed STEM Teachers to Students*,Mbps Bandwidth,# of Comp Sci Courses,# of AP Comp Sci Courses,# of Full CS Courses,# of Partial CS Courses,K-12 Enrollment,K-12 FRPL Count,Classroom Teachers w/ 0-3 Years Experience,Classroom Teachers w/ More than 3 Years Experience,Classroom Teachers,Total School Funding per Pupil,Teacher_Response_Rate,17a. SD/D,17a. SA/A,"17b. SD/D,",17b. SA/A,17c. SD/D,17c. SA/A,number_tested,number_level_one,number_level_two,number_level_three,number_level_four,percent_level_one,percent_level_two,percent_level_three,percent_level_four,poverty_percent
06M018,Park Terrace (P.S. 18),MANHATTAN,GR K-8,40.871278,-73.911516,353,2,0,0.00566572238,,9,0,0,9,353,327,8.7,22.0,2675314,25509.28,97,0,100,0,100,0,100,120,69,35,15,1,0.575,0.2916666667,0.125,0.008333333333,92.6
06M052,I.S. 52 (Inwood Intermediate School 52),MANHATTAN,GR 6-8,40.866053,-73.924835,267,5,0,0.01872659176,100,,,,,,,,,,,100,0,100,0,100,0,100,229,131,71,22,5,0.5720524017,0.3100436681,0.096069869,0.02183406114,95
06M143,Eleanor Roosevelt Intermediate School (I.S. 143),MANHATTAN,GR 6-8,40.848908,-73.930948,265,7,0,0.02641509434,100,,,,,265,235,5,24.0,2532302,35724.25,100,0,100,0,100,0,100,251,149,64,28,10,0.593625498,0.2549800797,0.1115537849,0.03984063745,89.4
06M187,Hudson Cliffs School (P.S./I.S. 187),MANHATTAN,GR K-8,40.856693,-73.937093,799,2,0,0.002503128911,20,,,,,781,332,14,39.0,4487510,19605.94,51,14,86,14,86,14,86,197,56,59,51,31,0.2842639594,0.2994923858,0.2588832487,0.1573604061,43.3
06M209,Hamilton Grange Middle School,MANHATTAN,GR 6-8,40.820953,-73.951145,267,3,0,0.01123595506,100,,,,,267,248,8,15.0,2060536,23526.48,96,0,100,0,100,0,100,223,107,72,34,10,0.4798206278,0.3228699552,0.1524663677,0.04484304933,92.9
06M210,The Twenty-First Century Academy for Community Leadership (P.S./I.S. 210),MANHATTAN,GR PK-8,40.829832,-73.944789,419,0,0,0,100,,,,,401,367,4.5,36.0,3522534,25099.38,95,20,80,20,80,20,80,144,36,66,25,17,0.25,0.4583333333,0.1736111111,0.1180555556,92.4
06M218,The Salome Ureña de Henriquez School (I.S. 218),MANHATTAN,GR 6-8,40.86079,-73.930672,175,5,0,0.02857142857,100,,,,,,,,,,,37,,,,,,,,,,,,,,,,
06M223,The Mott Hall School,MANHATTAN,GR 6-8,40.815458,-73.952908,292,7,0,0.02397260274,100,,,,,292,234,3,21.0,2095345,22544.66,100,11,89,11,89,11,89,277,17,32,76,152,0.06137184116,0.1155234657,0.274368231,0.5487364621,80.8
06M278,Paula Hedbavny School (P.S./M.S. 278),MANHATTAN,GR K-8,40.871245,-73.912141,559,3,0,0.005366726297,100,,,,,559,373,8,27.0,3180637,19347.2,100,0,100,0,100,13,88,198,36,60,43,59,0.1818181818,0.303030303,0.2171717172,0.297979798,67.4
06M293,City College Academy of The Arts,MANHATTAN,GR 6-12,40.86079,-73.930672,602,13,0,0.02159468439,100,2,0,2,0,602,497,10,28.0,3374400,19520.5,44,0,100,14,86,14,86,240,66,80,60,34,0.275,0.3333333333,0.25,0.1416666667,83.4
06M311,Amistad Dual Language School,MANHATTAN,GR K-8,40.866706,-73.923948,395,1,0,0.00253164557,100,,,,,395,320,17,11.0,2305567,21900.2,100,0,100,13,88,0,100,124,42,45,27,10,0.3387096774,0.3629032258,0.2177419355,0.08064516129,81.3
06M319,Maria Teresa Mirabal (M.S. 319),MANHATTAN,GR 6-8,40.839305,-73.936159,418,5,0,0.01196172249,100,3,0,0,3,418,409,1,33.0,3336183,26848.47,74,14,86,14,86,14,86,313,113,106,57,37,0.3610223642,0.338658147,0.1821086262,0.1182108626,95
06M322,The Renaissance Leadership Academy (M.S. 322),MANHATTAN,GR 6-8,40.86079,-73.930672,310,4,0,0.01290322581,100,,,,,310,287,9,20.0,3446939,27157.3,83,30,70,20,80,10,90,295,156,76,39,24,0.5288135593,0.2576271186,0.1322033898,0.0813559322,95
06M324,Patria Mirabal Middle School (M.S. 324),MANHATTAN,GR 6-8,40.839305,-73.936159,399,7,0,0.01754385965,100,,,,,399,361,10,28.7,2849280,27364.07,51,0,100,0,100,0,100,308,118,108,58,24,0.3831168831,0.3506493506,0.1883116883,0.07792207792,91.7
06M328,Community Math & Science Prep,MANHATTAN,GR 6-8,40.836536,-73.937159,229,3,0,0.01310043668,100,,,,,229,227,5.5,21.0,2284676,32086.07,96,10,90,20,80,10,90,211,159,30,20,2,0.7535545024,0.1421800948,0.09478672986,0.009478672986,95
06M346,Community Health Academy of The Heights,MANHATTAN,GR 6-12,40.833687,-73.942072,703,13,0,0.01849217639,100,,,,,703,654,12,41.0,4108848,21182.14,100,0,100,0,100,0,100,234,88,101,33,12,0.3760683761,0.4316239316,0.141025641,0.05128205128,93.3
06M348,Washington Heights Expeditionary Learning School,MANHATTAN,GR PK-4; 6-12. (School will serve grades PK-12 by Fall 2019),40.848908,-73.930948,815,14,0,0.01717791411,100,1,0,0,1,784,615,19,44.0,5168997,21088.68,72,0,100,13,88,13,88,210,121,79,10,0,0.5761904762,0.3761904762,0.04761904762,0,77.3
06M349,Harbor Heights Middle School,MANHATTAN,GR 6-8,40.845469,-73.940468,129,2,0,0.01550387597,100,,,,,129,127,1,9.0,787627,27713.45,100,0,100,0,100,0,100,139,82,29,23,5,0.5899280576,0.2086330935,0.1654676259,0.03597122302,95
06M366,Washington Heights Academy,MANHATTAN,GR PK-8,40.8654,-73.921101,571,3,0,0.005253940455,100,,,,,520,470,4,31.0,3335255,21269.89,83,0,100,0,100,0,100,130,5,23,55,47,0.03846153846,0.1769230769,0.4230769231,0.3615384615,90.9
06M528,Bea Fuller Rodgers School (I.S. 528),MANHATTAN,GR 6-8,40.85051,-73.934485,224,4,0,0.01785714286,100,,,,,224,215,7,10.0,1367871,25280.82,100,,,,,,,170,59,59,39,13,0.3470588235,0.3470588235,0.2294117647,0.07647058824,95
07X005,Port Morris (P.S./M.S. 5),BRONX,GR PK-8,40.813728,-73.908886,722,3,0,0.004155124654,100,,,,,686,654,14.5,46.0,5175543,24925.93,95,14,86,14,86,14,86,228,129,65,34,0,0.5657894737,0.2850877193,0.149122807,0,95
07X029,The Melrose School (P.S./M.S. 29),BRONX,GR PK-8,40.821515,-73.917279,792,2,0,0.002525252525,20,,,,,730,681,33,38.0,5262393,23554.69,89,14,86,0,100,0,100,255,147,80,16,12,0.5764705882,0.3137254902,0.06274509804,0.04705882353,93.4
07X031,The William Lloyd Garrison (P.S./M.S. 31),BRONX,GR PK-8,40.82316,-73.921631,708,4,0,0.005649717514,100,,,,,661,603,11.5,48.0,5135115,24749.45,97,17,83,18,82,0,100,213,119,69,20,5,0.558685446,0.323943662,0.09389671362,0.0234741784,92.1
07X151,Lou Gehrig Academy (J.H.S. 151),BRONX,GR 6-8,40.82316,-73.921631,261,2,0,0.007662835249,100,,,,,261,259,4.5,17.0,2023162,26864.64,95,0,100,0,100,0,100,243,190,40,12,1,0.7818930041,0.1646090535,0.04938271605,0.004115226337,95
20K201,Dyker Heights (J.H.S. 201),BROOKLYN,GR 6-8,40.618676,-74.012722,1584,18,0,0.01136363636,10,,,,,1584,1193,15,77.7,8506044,18919.06,89,0,100,0,100,0,100,1544,147,289,376,732,0.09520725389,0.1871761658,0.2435233161,0.4740932642,75.5
07X221,South Bronx Preparatory: A College Board School,BRONX,GR 6-12,40.813983,-73.920782,659,13,1,0.01972685888,200,2,0,0,2,659,635,18.9,30.0,3841840,23927,100,5,95,14,86,5,95,261,80,113,44,24,0.30651341,0.4329501916,0.1685823755,0.09195402299,95
07X223,The Laboratory School of Finance and Technology: X223,BRONX,GR 6-12,40.813983,-73.920782,684,12,0,0.01754385965,200,10,2,9,1,684,666,22.4,29.0,4081308,21253.09,98,11,89,11,89,16,84,276,68,76,67,65,0.2463768116,0.2753623188,0.2427536232,0.2355072464,95
07X224,Science School for Exploration and Discovery (M.S. 224),BRONX,GR 6-8,40.81004,-73.917792,358,5,0,0.01396648045,200,,,,,358,351,10,19.0,2582649,27584.83,88,20,80,40,60,60,40,289,237,46,6,0,0.8200692042,0.1591695502,0.02076124567,0,95
07X296,South Bronx Academy for Applied Media,BRONX,GR 6-8,40.818874,-73.905927,253,3,0,0.01185770751,100,,,,,253,236,9,16.0,1994954,29008.13,93,0,100,0,100,0,100,221,135,60,19,7,0.6108597285,0.2714932127,0.08597285068,0.03167420814,93.7
27Q183,Dr. Richard R. Green School (P.S./M.S. 183),QUEENS,GR PK-8,40.589508,-73.805361,525,2,0,0.00380952381,10,,,,,507,472,11,40.0,4716623,28838.75,89,14,86,14,86,0,100,158,65,55,32,6,0.4113924051,0.3481012658,0.2025316456,0.03797468354,92.8
07X298,The Academy of Public Relations,BRONX,GR 6-8,40.818874,-73.905927,247,4,0,0.01619433198,100,,,,,247,225,7,16.0,2178069,28655.37,96,25,75,29,71,25,75,206,132,64,10,0,0.640776699,0.3106796117,0.04854368932,0,92.3
07X343,Academy of Applied Mathematics & Technology,BRONX,GR 6-8,40.81004,-73.917792,300,7,0,0.02333333333,200,,,,,300,283,4,20.0,1954119,23903.12,100,11,89,0,100,11,89,256,81,87,65,23,0.31640625,0.33984375,0.25390625,0.08984375,95
07X500,Hostos-Lincoln Academy of Science,BRONX,GR 6-12,40.815498,-73.91224,508,7,0,0.01377952756,100,,,,,508,434,6,30.0,3032783,22266.48,61,0,100,0,100,0,100,146,55,61,24,6,0.3767123288,0.4178082192,0.1643835616,0.04109589041,86
07X551,The Urban Assembly Bronx Academy of Letters,BRONX,GR 6-12,40.813641,-73.925313,590,11,0,0.0186440678,100,1,0,1,0,590,530,17.4,40.0,4333256,24549.22,90,19,81,13,88,13,88,240,158,57,18,7,0.6583333333,0.2375,0.075,0.02916666667,91
07X584,I.S. 584,BRONX,GR 6-8,40.815498,-73.91224,277,6,1,0.02166064982,100,,,,,277,269,13,14.0,1855464,28067.28,77,0,100,0,100,0,100,261,199,49,13,0,0.7624521073,0.1877394636,0.04980842912,0,95
20K030,Mary White Ovington (P.S./I.S. 30),BROOKLYN,GR K-8,40.63359,-74.023948,911,9,0,0.009879253568,40,7,0,2,5,911,729,26,43.0,6597795,21552.59,85,25,75,25,75,25,75,377,79,99,86,113,0.2095490716,0.2625994695,0.2281167109,0.299734748,80.6
20K062,Ditmas Junior High School (J.H.S. 62),BROOKLYN,GR 6-8,40.638686,-73.971651,1204,19,0,0.0157807309,40,2,0,1,1,1204,1052,14,74.0,7700440,21878.09,89,10,90,10,90,13,87,1028,325,301,265,137,0.3161478599,0.2928015564,0.2577821012,0.1332684825,88.8
20K104,The Fort Hamilton School (P.S./I.S. 104),BROOKLYN,GR K-8,40.618415,-74.028842,1265,3,1,0.002371541502,30,6,0,0,6,1265,810,12.5,63.0,6483512,19722.7,84,0,100,0,100,,,479,80,153,140,106,0.1670146138,0.3194154489,0.2922755741,0.2212943633,64.4
20K163,P.S. 163 Bath Beach,BROOKLYN,GR K-8,40.606792,-74.00806,633,3,0,0.004739336493,10,,,,,633,509,8,39.0,3993581,23640.3,52,,,,,,,248,37,65,71,75,0.1491935484,0.2620967742,0.2862903226,0.3024193548,81.2
20K180,The SEEALL Academy,BROOKLYN,GR PK-8,40.627029,-73.989672,1136,7,0,0.006161971831,50,,,,,,,,,,,87,0,100,0,100,0,100,447,63,94,99,191,0.1409395973,0.2102908277,0.2214765101,0.4272930649,88.4
20K187,The Christa McAuliffe School (I.S. 187),BROOKLYN,GR 6-8,40.627784,-74.004485,873,14,0,0.01603665521,50,,,,,873,574,9.2,45.0,5304593,20074.66,87,0,100,8,92,8,92,690,24,6,20,640,0.0347826087,0.008695652174,0.02898550725,0.9275362319,66.1
20K192,The Magnet School for Math and Science Inquiry (P.S./I.S. 192),BROOKLYN,GR PK-8,40.629303,-73.979995,677,3,0,0.004431314623,10,,,,,646,552,17.4,41.0,4554739,23787.64,62,,,,,,,181,43,54,50,34,0.2375690608,0.2983425414,0.2762430939,0.1878453039,85.8
20K220,John J. Pershing (J.H.S. 220),BROOKLYN,GR 6-8,40.640545,-74.000731,1520,33,0,0.02171052632,40,2,0,2,0,1520,1308,27,91.0,10179855,20680.65,82,0,100,10,90,10,90,1400,303,318,311,468,0.2164285714,0.2271428571,0.2221428571,0.3342857143,87
21K690,Brooklyn Studio Secondary School,BROOKLYN,GR 6-12,40.604879,-73.994404,942,10,1,0.01061571125,,1,1,1,0,942,715,11,46.7,5238516,20835.51,46,0,100,0,100,0,100,245,78,87,64,16,0.3183673469,0.3551020408,0.2612244898,0.06530612245,77.5
20K223,Montauk (J.H.S. 223),BROOKLYN,GR 6-8,40.634875,-73.981528,950,18,0,0.01894736842,40,,,,,950,926,11,60.7,6490539,22217.14,82,10,90,14,86,14,86,876,131,224,245,276,0.149543379,0.2557077626,0.2796803653,0.3150684932,95
20K227,Edward B. Shallow (J.H.S. 227),BROOKLYN,GR 6-8,40.62191,-73.995022,1506,22,0,0.01460823373,10,3,0,0,3,1506,1387,21,78.0,9377680,20198.58,100,0,100,4,96,0,100,1515,429,428,349,309,0.2831683168,0.2825082508,0.2303630363,0.203960396,92.8
20K229,P.S./I.S. 229,BROOKLYN,GR PK-8,40.610963,-74.013376,1249,3,0,0.002401921537,100,5,0,0,5,1217,728,12.9,64.0,7123229,19202.57,74,11,89,11,89,11,89,324,49,63,79,133,0.1512345679,0.1944444444,0.2438271605,0.4104938272,60.7
20K259,William McKinley (J.H.S. 259),BROOKLYN,GR 6-8,40.62668,-74.01512,1852,26,0,0.01403887689,50,2,0,2,0,1852,1490,20,88.0,9915374,18505.31,98,3,97,6,94,6,94,1810,221,328,453,808,0.1220994475,0.1812154696,0.2502762431,0.4464088398,80.8
08X269,Bronx Studio School for Writers and Artists,BRONX,GR 6-12,40.820579,-73.893128,643,9,0,0.01399688958,100,,,,,643,545,19,32.0,4317685,24732.97,88,8,92,8,92,8,92,262,130,94,32,6,0.4961832061,0.358778626,0.1221374046,0.02290076336,86.8
20K609,Urban Assembly School for Criminal Justice,BROOKLYN,GR 6-12,40.634875,-73.981528,556,12,0,0.02158273381,40,,,,,556,525,22,23.0,3378240,20746.47,98,7,93,27,73,13,87,178,32,76,60,10,0.1797752809,0.4269662921,0.3370786517,0.05617977528,94.6
20K686,Brooklyn School of Inquiry,BROOKLYN,GR K-8,40.60731,-73.986595,566,1,1,0.001766784452,50,,,,,566,127,4.4,23.2,2234325,17218.14,96,,,,,,,110,0,7,21,82,0,0.06363636364,0.1909090909,0.7454545455,22.6
21K095,The Gravesend School (P.S. 95),BROOKLYN,GR PK-8,40.595698,-73.97518,943,3,0,0.003181336161,50,,,,,925,688,8,59.0,6213110,22243.92,97,0,100,0,100,0,100,138,25,38,41,34,0.1811594203,0.2753623188,0.2971014493,0.2463768116,75.4
21K096,Seth Low (I.S. 96),BROOKLYN,GR 6-8,40.60754,-73.984661,779,17,3,0.02182284981,40,3,0,0,3,779,610,27.4,46.0,6460925,28071.45,96,4,96,4,96,4,96,707,231,172,128,176,0.3267326733,0.243281471,0.1810466761,0.2489391796,80.4
21K098,The Bay Academy (I.S. 98),,GR 6-8,,,1530,20,0,0.01307189542,50,3,0,3,0,1530,841,12,61.0,6737091,17012.19,91,0,100,0,100,0,100,1248,3,40,168,1037,0.002403846154,0.03205128205,0.1346153846,0.8309294872,55.3
21K099,Isaac Asimov (P.S. 99),BROOKLYN,GR PK-8,40.621565,-73.965595,876,1,0,0.001141552511,10,,,,,840,623,10.2,49.7,5359378,20058.79,97,10,90,10,90,10,90,209,82,69,41,17,0.3923444976,0.3301435407,0.1961722488,0.08133971292,75.5
21K121,Nelson A. Rockefeller (P.S./I.S. 121) Magnet School of Applied Life Sciences,BROOKLYN,GR PK-8,40.623273,-73.978822,336,2,1,0.005952380952,10,,,,,336,216,10.7,38.7,4066989,35628.61,94,0,100,0,100,0,100,89,18,27,32,12,0.202247191,0.3033707865,0.3595505618,0.1348314607,65.2
15K448,Brooklyn Collaborative,BROOKLYN,GR 6-12,40.68007,-74.001377,681,14,1,0.02055800294,200,1,0,1,0,,,,,,,74,0,100,6,94,6,94,53,29,16,7,1,0.5471698113,0.3018867925,0.1320754717,0.01886792453,69.8
21K209,The Margaret Mead School (P.S. 209),BROOKLYN,GR PK-8,40.586845,-73.96198,733,2,0,0.00272851296,10,,,,,697,557,6.2,52.0,5136483,24931.45,88,0,100,0,100,0,100,183,47,54,59,23,0.2568306011,0.2950819672,0.3224043716,0.1256830601,79.9
21K225,The Eileen E. Zaglin School (P.S. 225),BROOKLYN,GR PK-8,40.579737,-73.956329,1011,6,0,0.005934718101,20,,,,,964,738,15,65.0,6776365,25297.14,70,,,,,,,363,111,103,93,56,0.305785124,0.2837465565,0.2561983471,0.1542699725,78.2
21K226,Alfred De B. Mason (P.S./ I.S. 226),BROOKLYN,GR PK-8,40.615252,-73.97635,1030,4,0,0.003883495146,10,,,,,,,,,,,96,0,100,13,87,0,100,294,48,81,84,81,0.1632653061,0.2755102041,0.2857142857,0.2755102041,86.5
21K228,David A. Boody (I.S. 228),BROOKLYN,GR 6-8,40.6013,-73.976953,1311,25,0,0.01906941266,40,,,,,1311,1047,30.2,68.0,8147499,20497.56,76,0,100,0,100,0,100,1131,205,272,349,305,0.1812555261,0.240495137,0.308576481,0.2696728559,80.9
21K238,The Anne Sullivan School (P.S./I.S. 238),BROOKLYN,GR PK-8,40.608862,-73.965058,611,3,0,0.004909983633,10,6,0,0,6,539,449,11.2,44.0,4665217,26550.48,83,0,100,0,100,0,100,176,90,47,27,12,0.5113636364,0.2670454545,0.1534090909,0.06818181818,84.6
21K239,Mark Twain for the Gifted & Talented (I.S. 239),BROOKLYN,GR 6-8,40.578188,-73.99203,1322,19,1,0.01437216339,40,3,0,3,0,1322,499,7.7,65.0,7151116,18071.78,89,0,100,0,100,0,100,1146,28,92,221,805,0.02443280977,0.08027923211,0.1928446771,0.702443281,38.4
21K281,Joseph B. Cavallaro (I.S. 281),BROOKLYN,GR 6-8,40.595341,-73.993457,1334,14,0,0.01049475262,40,,,,,1334,1159,27,65.0,8037586,20920.68,91,9,91,16,84,9,91,1164,248,309,297,310,0.2130584192,0.2654639175,0.2551546392,0.2663230241,87.4
21K288,The Shirley Tanyhill School (P.S./I.S. 288),BROOKLYN,GR PK-8,40.574411,-73.99194,663,3,0,0.004524886878,20,,,,,634,591,15,38.0,4774549,23503.15,38,,,,,,,149,92,36,17,4,0.6174496644,0.2416107383,0.1140939597,0.02684563758,93.5
21K303,Herbert S. Eisenberg (I.S. 303) Academy for Career Exploration,BROOKLYN,GR 6-8,40.5825,-73.973122,538,3,0,0.005576208178,20,,,,,538,414,10.9,21.7,3139661,21634.32,61,18,82,27,73,27,73,527,218,175,91,43,0.4136622391,0.3320683112,0.1726755218,0.08159392789,78.6
21K468,The Kingsborough Early College Secondary School,BROOKLYN,GR 6-12,40.594291,-73.98577,657,10,0,0.01522070015,50,1,1,1,0,657,465,5.5,32.0,3546924,19739.52,95,0,100,0,100,0,100,225,70,93,42,20,0.3111111111,0.4133333333,0.1866666667,0.08888888889,72.3
27Q042,R. Vernam (P.S./M.S. 42),QUEENS,GR PK-8,40.594538,-73.795304,658,3,0,0.004559270517,50,,,,,620,597,17.4,48.0,5272178,27255.94,98,25,75,19,81,19,81,145,102,34,7,2,0.7034482759,0.2344827586,0.04827586207,0.01379310345,95
27Q043,P.S./M.S. 43,QUEENS,GR PK-8,40.593834,-73.76174,901,1,0,0.001109877913,100,,,,,836,767,13,55.0,5886185,23268.11,40,,,,,,,150,65,54,19,12,0.4333333333,0.36,0.1266666667,0.08,91.7
27Q202,Robert H. Goddard (M.S. 202),QUEENS,GR 6-8,40.67124,-73.845141,1097,11,0,0.01002734731,40,,,,,1097,876,4,69.0,6578327,19515.01,96,0,100,0,100,0,100,846,263,271,185,127,0.3108747045,0.3203309693,0.2186761229,0.1501182033,81.2
27Q047,Chris Galas (P.S./M.S. 47),QUEENS,GR PK-8,40.606353,-73.820445,216,1,0,0.00462962963,10,7,0,0,7,201,70,6.2,18.0,2258963,33200.19,100,,,,,,,39,6,17,14,2,0.1538461538,0.4358974359,0.358974359,0.05128205128,35.2
27Q053,Brian Piccolo (I.S. 53),QUEENS,GR 6-8,40.603622,-73.749097,267,3,0,0.01123595506,100,,,,,267,216,14,14.0,2026454,33166.89,100,9,91,0,100,0,100,235,172,45,13,5,0.7319148936,0.1914893617,0.05531914894,0.02127659574,83.1
27Q309,Academy of Medical Technology,QUEENS,GR 6-12,40.60201,-73.762795,639,15,0,0.0234741784,200,1,1,1,0,639,502,6,42.0,4253600,20579.75,86,7,93,14,86,14,86,188,127,49,12,0,0.6755319149,0.2606382979,0.06382978723,0,80
27Q105,The Bay School (P.S./M.S. 105),QUEENS,GR PK-8,40.595779,-73.781876,815,2,0,0.00245398773,50,1,0,0,1,779,688,11,60.5,6330337,24722.76,86,13,88,25,75,25,75,223,140,57,22,4,0.6278026906,0.2556053812,0.09865470852,0.01793721973,88.8
27Q207,The Rockwood Park School (P.S. 207),QUEENS,GR PK-8,40.658089,-73.844432,680,2,0,0.002941176471,20,3,0,0,3,628,216,4.7,62.7,5747841,27211.07,94,0,100,0,100,0,100,144,26,40,47,31,0.1805555556,0.2777777778,0.3263888889,0.2152777778,35.6
27Q114,The Belle Harbor School (P.S./M.S. 114),QUEENS,GR PK-8,40.578261,-73.854403,669,3,0,0.004484304933,100,,,,,633,155,8,42.0,4506504,22422.73,100,20,80,20,80,20,80,81,17,23,32,9,0.2098765432,0.2839506173,0.3950617284,0.1111111111,24.5
27Q124,Osmond A. Church (P.S./M.S. 124),QUEENS,GR K-8,40.665058,-73.811701,1229,4,0,0.0032546786,20,5,0,0,5,1229,770,8,69.7,6585492,19143.42,85,9,91,9,91,0,100,388,120,135,74,59,0.3092783505,0.3479381443,0.1907216495,0.1520618557,64.1
27Q137,America's School of Heroes (M.S. 137),QUEENS,GR 6-8,40.6781,-73.839948,1890,25,0,0.01322751323,40,,,,,1890,1657,21,106.0,10848769,19642.64,77,9,91,9,91,9,91,1230,393,378,269,190,0.3195121951,0.3073170732,0.218699187,0.1544715447,88.9
27Q146,The Howard Beach School (P.S./M.S. 146),QUEENS,GR PK-8,40.659873,-73.835068,678,1,0,0.001474926254,20,8,0,0,8,662,318,3,47.0,4276031,23388.07,100,0,100,0,100,0,100,208,48,56,66,38,0.2307692308,0.2692307692,0.3173076923,0.1826923077,47.5
27Q210,Elizabeth Blackwell (J.H.S. 210),QUEENS,GR 6-8,40.683858,-73.84747,1880,24,0,0.01276595745,20,,,,,1880,1589,29,99.0,11548536,20150.71,94,33,68,33,67,28,72,1612,696,455,314,147,0.4317617866,0.2822580645,0.1947890819,0.091191067,85.7
27Q226,Virgil I. Grissom (J.H.S. 226),QUEENS,GR 6-8,40.675771,-73.816938,916,14,0,0.01528384279,20,,,,,916,830,15,42.0,5331134,21091.51,91,17,83,11,89,17,83,585,308,151,87,39,0.5264957265,0.2581196581,0.1487179487,0.06666666667,91
27Q232,Lindenwood (P.S. 232),QUEENS,GR K-8,40.665909,-73.851216,970,2,0,0.00206185567,20,3,0,3,0,970,600,6.7,59.7,5831865,20722.75,86,0,100,0,100,0,100,291,47,93,88,63,0.1615120275,0.3195876289,0.3024054983,0.2164948454,62.7
27Q262,Channel View School for Research,QUEENS,GR 6-12,40.583775,-73.839659,888,15,0,0.01689189189,40,,,,,888,645,18,50.0,6054799,22935.88,99,5,95,10,90,10,90,262,55,93,90,24,0.2099236641,0.3549618321,0.3435114504,0.09160305344,73.6
27Q282,Knowledge and Power Preparatory Academy VI,QUEENS,GR 6-8,40.60201,-73.762795,264,5,0,0.01893939394,200,,,,,264,218,5,11.0,1486744,20199.68,88,,,,,,,179,40,66,48,25,0.2234636872,0.3687150838,0.2681564246,0.1396648045,85.2
27Q297,Hawtree Creek Middle School-M.S. 297,QUEENS,GR 6-8,40.675771,-73.816938,366,6,0,0.01639344262,20,,,,,366,335,15.9,13.0,2292698,21145.3,100,18,82,9,91,0,100,312,146,96,52,18,0.4679487179,0.3076923077,0.1666666667,0.05769230769,92.1
27Q318,Waterside School For Leadership,QUEENS,GR 6-8,40.580928,-73.831836,228,0,0,0,100,3,0,0,3,228,203,9,13.0,1670633,23615.2,100,0,100,0,100,0,100,219,135,65,16,3,0.6164383562,0.296803653,0.07305936073,0.01369863014,91.2
27Q319,Village Academy,QUEENS,GR 6-8,40.603622,-73.749097,359,7,0,0.01949860724,100,,,,,359,296,10,20.0,2591890,21778.87,100,0,100,17,83,0,100,362,211,120,25,6,0.5828729282,0.3314917127,0.06906077348,0.01657458564,83.6
27Q323,Scholars' Academy,QUEENS,GR 6-12,40.584109,-73.825711,1376,28,0,0.02034883721,200,1,1,1,0,1376,651,25.5,50.0,6245335,16649.84,99,6,94,6,94,6,94,451,5,31,116,299,0.0110864745,0.06873614191,0.2572062084,0.6629711752,48.1
27Q333,Goldie Maple Academy,QUEENS,GR PK-8,40.593967,-73.786182,428,1,0,0.002336448598,100,,,,,386,305,6,21.0,2838702,21121.48,67,,,,,,,57,38,12,6,1,0.6666666667,0.2105263158,0.1052631579,0.01754385965,79.7
01M034,Franklin Delano Roosevelt (P.S. 34),MANHATTAN,GR PK-8,40.726473,-73.975181,333,4,0,0.01201201201,100,,,,,320,312,10,26.0,2777390,29882.06,78,,,,,,,119,69,33,11,6,0.5798319328,0.2773109244,0.09243697479,0.05042016807,95
01M140,The Nathan Straus Preparatory School (P.S. 140),MANHATTAN,GR PK-8,40.71925,-73.983056,371,3,0,0.008086253369,100,4,0,0,4,353,309,8,27.0,2943749,26390.92,50,,,,,,,156,76,46,26,8,0.4871794872,0.2948717949,0.1666666667,0.05128205128,88.4
01M184,Shuang Wen School (P.S. 184),MANHATTAN,GR PK-8,40.711549,-73.986542,684,6,0,0.008771929825,100,,,,,649,440,23,28.0,4014189,20901.88,92,17,83,0,100,8,92,250,18,29,56,147,0.072,0.116,0.224,0.588,68
01M188,The Island School (P.S. 188),MANHATTAN,GR PK-8,40.719598,-73.977904,433,2,0,0.004618937644,100,,,,,414,377,10.9,28.0,3497645,29106.77,86,0,100,0,100,0,100,143,45,50,37,11,0.3146853147,0.3496503497,0.2587412587,0.07692307692,92.1
13K691,Fort Greene Preparatory Academy,BROOKLYN,GR 6-8,40.694633,-73.971165,201,3,0,0.01492537313,20,2,0,0,2,201,182,10,12.0,1714240,29737.17,100,13,88,0,100,0,100,199,118,57,19,5,0.5929648241,0.2864321608,0.09547738693,0.02512562814,90.5
01M301,"Technology, Arts and Sciences Studios",MANHATTAN,GR 6-8,40.729636,-73.983818,106,3,0,0.02830188679,100,,,,,,,,,,,54,,,,,,,,,,,,,,,,
25Q025,Adrien Block (I.S. 25),QUEENS,GR 6-8,40.765133,-73.790083,1028,17,0,0.01653696498,40,,,,,1028,598,11,49.0,5524470,18826.25,97,6,94,0,100,0,100,965,143,229,229,364,0.1481865285,0.2373056995,0.2373056995,0.3772020725,58.8
01M332,University Neighborhood Middle School,MANHATTAN,GR 6-8,40.713684,-73.986336,203,5,0,0.02463054187,100,,,,,203,178,10,15.0,2072200,37499.03,100,0,100,20,80,0,100,168,112,35,13,8,0.6666666667,0.2083333333,0.07738095238,0.04761904762,88.7
01M378,School For Global Leaders,MANHATTAN,GR 6-8,40.720581,-73.985645,256,7,0,0.02734375,100,,,,,256,205,8,19.0,2642573,26110.86,67,20,80,0,100,20,80,211,92,61,24,34,0.4360189573,0.2890995261,0.1137440758,0.1611374408,82.8
